notation,prefLabel,definition
IsCitedBy,IsCitedBy,"indicates that B includes A in a citation"
Cites,Cites,"indicates that A includes B in a citation"
IsSupplementTo,IsSupplementTo,"indicates that A is a supplement to B"
IsSupplementedBy,IsSupplementedBy,"indicates that B is a supplement to A"
IsContinuedBy,IsContinuedBy,"indicates A is continued by the work B"
Continues,Continues,"indicates A is a continuation of the work B"
Describes,Describes,"indicates A describes B"
IsDescribedBy,IsDescribedBy,"indicates A is described by B"
HasMetadata,HasMetadata,"indicates resource A has additional metadata B"
IsMetadataFor,IsMetadataFor,"indicates additional metadata A for a resource B"
HasVersion,HasVersion,"indicates A has a version B"
IsVersionOf,IsVersionOf,"indicates A is a version of B"
IsNewVersionOf,IsNewVersionOf,"indicates A is a new edition of B, where the new edition has been modified or updated"
IsPreviousVersionOf,IsPreviousVersionOf,"indicates A is a previous edition of B"
IsPartOf,IsPartOf,"indicates A is a portion of B; may be used for elements of a series"
HasPart,HasPart,"indicates A includes the part B"
IsPublishedIn,IsPublishedIn,"indicates A is published inside B, but is independent of other things published inside of B"
IsReferencedBy,IsReferencedBy,"indicates A is used as a source of information by B"
References,References,"indicates B is used as a source of information for A"
IsDocumentedBy,IsDocumentedBy,"indicates B is documentation about/explaining A"
Documents,Documents,"indicates A is documentation about/explaining B"
IsCompiledBy,IsCompiledBy,indicates B is used to compile or create A
Compiles,Compiles,"indicates B is the result of a compile or creation event using A"
IsVariantFormOf,IsVariantFormOf,"indicates A is a variant or different form of B"
IsOriginalFormOf,IsOriginalFormOf,"indicates A is the original form of B"
IsIdenticalTo,IsIdenticalTo,"indicates that A is identical to B, for use when there is a need to register two separate instances of the same resource"
IsReviewedBy,IsReviewdBy,"indicates that A is reviewed by B"
Reviews,Reviews,"indicates that A is a review of B"
IsDerivedFrom,IsDerivedFrom,"indicates B is a source upon which A is based"
IsSourceOf,IsSourceOf,"indicates A is a source upon which B is based"
IsRequiredBy,IsRequiredBy,"Indicates A is required by B"
Requires,Requires,"Indicates A requires B"
Obsoletes,Obsoletes,"Indicates A replaces B"
IsObsoletedBy,IsObsoletedBy,"Indicates A is replaced by B"
IsCollectedBy,IsCollectedBy,"Indicates A is collected by B"
Collects,Collects,"Indicates A collects B"
IsTranslationOf,IsTranslationOf,"indicates A is a translation of B"
HasTranslation,HasTranslation,"indicates A has a translation B"
