ger,Germanistik
ska,Skandinavistik
agr,Agrarwissenschaft
all,Allgemeine Nachschlagewerke
ang,Anglistik
ast,"Astronomie, Geodäsie"
bcp,Biochemie / Biophysik
bio,Biologie
bot,Biologie - Botanik
hbi,Biologie - Humanbiologie
zoo,Biologie - Zoologie
reg,"Bremensien, Regionalia"
bub,Buch- und Bibliothekswesen
che,Chemie
elt,Elektrotechnik
pae,Erziehungswissenschaften / Pädagogik
etn,Ethnologie
ggr,Geographie
geo,Geowissenschaften
ger,Germanistik
hil,"Geschichte - Alte und Mittelalterliche Geschichte, Geschichtswissenschaft"
his,Geschichte der Neuzeit (1500-1914)
hit,Geschichte - Neueste Geschichte (1914-)
inf,Informatik
ing,Ingenieurwissenschaft
kla,Klassische Philologie
puz,Kommunikationswissenschaft / Publizistik
kun,Kunst und Architektur
mat,Mathematik
med,Medizin
kli,"Medizin, Klinische"
mus,Musikwissenschaft
not,"Musikwissenschaft, Noten"
nat,Naturwissenschaften
ori,Orientalistik
oze,Ozeanographie
phi,Philosophie
phy,Physik
pol,Politikwissenschaft
psy,Psychologie
jur,Rechtswissenschaft
rel,Religionswissenschaft / Theologie
rom,Romanistik
ska,Skandinavistik
sla,Slawistik
sow,Sozialwissenschaften
soz,Soziologie
spo,Sport
asl,Sprach- und Literaturwissenschaft
ssl,Sprach- und Literaturwissenschaft / Sonstige Sprachen und Literaturen
the,Theologie
tea,Theater- und Filmwissenschaft
vol,Volkskunde
bwl,Wirtschaftswissenschaft - BWL
vwl,Wirtschaftswissenschaft - VWL
ver,Wirtschaftswissenschaft - Verkehrswissenschaft
swl,Wirtschaftswissenschaft - Wirtschaftszweiglehren
