notation,prefLabel,scopeNote,level
A,The arts,See also: HPN “Aesthetics”,1
AB,The arts: general issues,,2
ABA,Theory of art,See also: HPN “Aesthetics”,3
ABC,"Conservation, restoration & care of artworks",,3
ABK,"Forgery, falsification & theft of artworks",,3
ABQ,Art: financial aspects,"Class here: art sales and auctioneering, funding, patronage and sponsorship",3
AC,History of art / art & design styles,"Note: use AC* codes in conjunction with other Arts codes, as appropriate; eg with codes from AF “Art forms”, AG “Art treatments and subjects”, AK “Industrial / commercial art and design”, AM “Architecture”",2
ACB,Art styles not defined by date,,3
ACBK,Art of indigenous peoples,Note: use for traditional art of low-tech societies,4
ACBN,Naive art,Note: use for work of untrained artists in technologically advanced society,4
ACBP,Oriental art,"Note: use with Geographical qualifier where appropriate, eg 1FPC “China”; for Islamic art, use with JFSR2 “Islamic studies”",4
ACBS,Colonial art,Note: use for work of artists in colonial settings eg Heidelberg School in Australia; use with Geographical qualifier,4
ACC,History of art: pre-history,,3
ACG,"History of art: ancient & classical art,BCE to c 500 CE","Class here: Ancient Egyptian, Greek, Roman, early Christian, Celtic art, etc; use Geographical qualifier where appropriate",3
ACK,History of art: Byzantine & Medieval art c 500 CE to c 1400,,3
ACN,History of art & design styles: c 1400 to c 1600,,3
ACND,Renaissance art,,4
ACNH,Art & design styles: Mannerism,,4
ACQ,History of art & design styles: c 1600 to c 1800,,3
ACQB,Art & design styles: Baroque,,4
ACQH,Art & design styles: Classicism,,4
ACV,History of art & design styles: c 1800 to c 1900,,3
ACVC,Art & design styles: Romanticism,,4
ACVM,Art & design styles: Pre-Raphaelite art,,4
ACVN,Art & design styles: Arts & Crafts style,,4
ACVT,Art & design styles: Impressionism & Post-Impressionism,,4
ACVY,Art & design styles: Art Nouveau,,4
ACX,History of art & design styles: from c 1900 -,,3
ACXD,Art & design styles: c 1900 to c 1960,,4
ACXD1,Art & design styles: Expressionism,,5
ACXD2,Art & design styles: Modernist design & Bauhaus,,5
ACXD3,Art & design styles: Art Deco,,5
ACXD5,Art & design styles: Cubism,,5
ACXD7,Art & design styles: Surrealism & Dada,,5
ACXD9,Art & design styles: Abstract Expressionism,,5
ACXJ,Art & design styles: from c 1960,,4
ACXJ1,Art & design styles: Pop art,,5
ACXJ4,Art & design styles: Minimalism,,5
ACXJ5,Art & design styles: Conceptual art,,5
ACXJ8,Art & design styles: Postmodernism,,5
AF,Art forms,"Use AF* codes for ‘art book’ treatments. See also: WF “Handicrafts, decorative arts and crafts” for ‘how-to’ and hobbyist approaches",2
AFC,Painting & paintings,,3
AFCC,Watercolours,"Note: for how to paint with watercolours, use WFA “Painting and art manuals”",4
AFCL,Oils,,4
AFF,Drawing & drawings,,3
AFH,Prints & printmaking,,3
AFJ,Other graphic art forms,,3
AFJD,Collage & photomontage,,4
AFJG,Graffiti & street art,,4
AFK,Non-graphic art forms,,3
AFKB,Sculpture,,4
AFKC,Carvings: artworks,,4
AFKG,"Precious metal, precious stones & jewellery: artworks & design","Class here: Gold and silversmithing, Faberge, etc. See also: WFJ “Jewellery and beadcraft”; WCP “Antiques and collectables: jewellery”; WCR “Antiques and collectables: gold and silver”",4
AFKN,Installation art,,4
AFKP,Performance art,,4
AFKV,"Electronic, holographic & video art",,4
AFP,"Ceramic arts, pottery, glass","See also: WFN “Pottery, ceramics and glass crafts”",3
AFPC,Ceramics: artworks,,4
AFPM,Mosaics: artworks,,4
AFPS,Stained glass: artworks,,4
AFT,Decorative arts,"Use for ‘art book’ approaches. See also: WF “Handicrafts, decorative arts and crafts” for ‘how-to’ and hobbyist approaches",3
AFTB,Folk art,,4
AFTC,Celtic arts & crafts,May be used with WF* codes for hobbyist titles,4
AFW,Textile artworks,See also: AKTX “Textile design and theory” for commercial art,3
AFWD,Textile artworks: carpets & rugs,See also: WFF “Rug and carpetmaking”,4
AFWH,"Textile artworks: tapestries, hangings & quilts",See also: WFBC “Embroidery crafts”,4
AFY,Body art & tattooing,,3
AG,Art treatments & subjects,"Note: with AG* codes, assign also the relevant code from AC “History of art / Art and design style” and/or from AF “Art forms”, as appropriate",2
AGB,"Individual artists, art monographs",,3
AGC,Exhibition catalogues & specific collections,"See also: WTHM “Museum, historic sites, gallery and art guides”",3
AGH,Human figures depicted in art,,3
AGHF,Portraits in art,,4
AGHN,Nudes depicted in art,,4
AGHX,Erotic art,See also: AJCX “Erotic and nude photography”,4
AGK,"Small-scale, secular & domestic scenes in art",Class here: ‘genre’ subjects in art,3
AGN,"Animals & nature in art (still life, landscapes & seascapes, etc)",,3
AGNB,Botanical art,,4
AGP,"Man-made objects depicted in art (cityscapes, machines, etc)",,3
AGR,Religious subjects depicted in art,,3
AGZ,Art techniques & principles,"Class here: textbooks and advanced level works on techniques, colour theory, perspective, etc. See WFA “Painting and art manuals” for hobbyist and ‘how-to’ manuals",3
AJ,Photography & photographs,,2
AJB,Individual photographers,,3
AJC,Photographs: collections,"Note: for collections of old photographs of specific places, use WQP “Places in old photographs”",3
AJCP,Photographs: portraits,,4
