notation,scopeNote,url
1,"Do not use “1” on individual books, as it is not a valid qualifier code; select appropriate qualifier code(s) from Section 1 below",https://ns.editeur.org/bic_categories/2688
2,"Do not use “2” on individual books, as it is not a valid qualifier code; select appropriate qualifier code(s) from Section 2 below",https://ns.editeur.org/bic_categories/3200
3,"Do not use “3” on individual books, as it is not a valid qualifier code; select appropriate qualifier code(s) from Section 3 below. Note: use as few Time Period qualifiers as possible to indicate the bulk of the period covered by the book; eg, for 410 to 1066, use 3F only; for 1948 to 1974, use 3JJP only. If the coverage is evenly split between two qualifiers, use both; eg, for 1789 to 1814, use both 3JF and 3JH. For single years that occur in two qualifiers, use the earlier period; eg, for 1990, use 3JJPN",https://ns.editeur.org/bic_categories/3473
4,"Do not use “4” on individual books, as it is not a valid qualifier code; select appropriate qualifier code(s) from Section 4 below",https://ns.editeur.org/bic_categories/3497
5,"Do not use “5” on individual books, as it is not a valid qualifier code; select appropriate qualifier code(s) from Section 5 below",https://ns.editeur.org/bic_categories/3606
A,See also: HPN “Aesthetics”,https://ns.editeur.org/bic_categories/1
AB,,https://ns.editeur.org/bic_categories/2
ABA,See also: HPN “Aesthetics”,https://ns.editeur.org/bic_categories/3
ABC,,https://ns.editeur.org/bic_categories/4
ABK,,https://ns.editeur.org/bic_categories/5
ABQ,"Class here: art sales and auctioneering, funding, patronage and sponsorship",https://ns.editeur.org/bic_categories/6
AC,"Note: use AC* codes in conjunction with other Arts codes, as appropriate; eg with codes from AF “Art forms”, AG “Art treatments and subjects”, AK “Industrial / commercial art and design”, AM “Architecture”",https://ns.editeur.org/bic_categories/7
ACB,,https://ns.editeur.org/bic_categories/8
ACBK,Note: use for traditional art of low-tech societies,https://ns.editeur.org/bic_categories/9
ACBN,Note: use for work of untrained artists in technologically advanced society,https://ns.editeur.org/bic_categories/10
ACBP,"Note: use with Geographical qualifier where appropriate, eg 1FPC “China”; for Islamic art, use with JFSR2 “Islamic studies”",https://ns.editeur.org/bic_categories/11
ACBS,Note: use for work of artists in colonial settings eg Heidelberg School in Australia; use with Geographical qualifier,https://ns.editeur.org/bic_categories/12
ACC,,https://ns.editeur.org/bic_categories/13
ACG,"Class here: Ancient Egyptian, Greek, Roman, early Christian, Celtic art, etc; use Geographical qualifier where appropriate",https://ns.editeur.org/bic_categories/14
ACK,,https://ns.editeur.org/bic_categories/15
ACN,,https://ns.editeur.org/bic_categories/16
ACND,,https://ns.editeur.org/bic_categories/17
ACNH,,https://ns.editeur.org/bic_categories/18
ACQ,,https://ns.editeur.org/bic_categories/19
ACQB,,https://ns.editeur.org/bic_categories/20
ACQH,,https://ns.editeur.org/bic_categories/21
ACV,,https://ns.editeur.org/bic_categories/22
ACVC,,https://ns.editeur.org/bic_categories/23
ACVM,,https://ns.editeur.org/bic_categories/24
ACVN,,https://ns.editeur.org/bic_categories/25
ACVT,,https://ns.editeur.org/bic_categories/26
ACVY,,https://ns.editeur.org/bic_categories/27
ACX,,https://ns.editeur.org/bic_categories/28
ACXD,,https://ns.editeur.org/bic_categories/29
ACXD1,,https://ns.editeur.org/bic_categories/30
ACXD2,,https://ns.editeur.org/bic_categories/31
ACXD3,,https://ns.editeur.org/bic_categories/32
ACXD5,,https://ns.editeur.org/bic_categories/33
ACXD7,,https://ns.editeur.org/bic_categories/34
ACXD9,,https://ns.editeur.org/bic_categories/35
ACXJ,,https://ns.editeur.org/bic_categories/36
ACXJ1,,https://ns.editeur.org/bic_categories/37
ACXJ4,,https://ns.editeur.org/bic_categories/38
ACXJ5,,https://ns.editeur.org/bic_categories/39
ACXJ8,,https://ns.editeur.org/bic_categories/40
AF,"Use AF* codes for ‘art book’ treatments. See also: WF “Handicrafts, decorative arts and crafts” for ‘how-to’ and hobbyist approaches",https://ns.editeur.org/bic_categories/41
AFC,,https://ns.editeur.org/bic_categories/42
AFCC,"Note: for how to paint with watercolours, use WFA “Painting and art manuals”",https://ns.editeur.org/bic_categories/43
AFCL,,https://ns.editeur.org/bic_categories/44
AFF,,https://ns.editeur.org/bic_categories/45
AFH,,https://ns.editeur.org/bic_categories/46
AFJ,,https://ns.editeur.org/bic_categories/47
AFJD,,https://ns.editeur.org/bic_categories/48
AFJG,,https://ns.editeur.org/bic_categories/49
AFK,,https://ns.editeur.org/bic_categories/50
AFKB,,https://ns.editeur.org/bic_categories/51
AFKC,,https://ns.editeur.org/bic_categories/52
AFKG,"Class here: Gold and silversmithing, Faberge, etc. See also: WFJ “Jewellery and beadcraft”; WCP “Antiques and collectables: jewellery”; WCR “Antiques and collectables: gold and silver”",https://ns.editeur.org/bic_categories/53
AFKN,,https://ns.editeur.org/bic_categories/54
AFKP,,https://ns.editeur.org/bic_categories/55
AFKV,,https://ns.editeur.org/bic_categories/56
AFP,"See also: WFN “Pottery, ceramics and glass crafts”",https://ns.editeur.org/bic_categories/57
AFPC,,https://ns.editeur.org/bic_categories/58
AFPM,,https://ns.editeur.org/bic_categories/59
AFPS,,https://ns.editeur.org/bic_categories/60
AFT,"Use for ‘art book’ approaches. See also: WF “Handicrafts, decorative arts and crafts” for ‘how-to’ and hobbyist approaches",https://ns.editeur.org/bic_categories/61
AFTB,,https://ns.editeur.org/bic_categories/62
AFTC,May be used with WF* codes for hobbyist titles,https://ns.editeur.org/bic_categories/63
AFW,See also: AKTX “Textile design and theory” for commercial art,https://ns.editeur.org/bic_categories/64
AFWD,See also: WFF “Rug and carpetmaking”,https://ns.editeur.org/bic_categories/65
AFWH,See also: WFBC “Embroidery crafts”,https://ns.editeur.org/bic_categories/66
AFY,,https://ns.editeur.org/bic_categories/67
AG,"Note: with AG* codes, assign also the relevant code from AC “History of art / Art and design style” and/or from AF “Art forms”, as appropriate",https://ns.editeur.org/bic_categories/68
AGB,,https://ns.editeur.org/bic_categories/69
AGC,"See also: WTHM “Museum, historic sites, gallery and art guides”",https://ns.editeur.org/bic_categories/70
AGH,,https://ns.editeur.org/bic_categories/71
AGHF,,https://ns.editeur.org/bic_categories/72
AGHN,,https://ns.editeur.org/bic_categories/73
AGHX,See also: AJCX “Erotic and nude photography”,https://ns.editeur.org/bic_categories/74
AGK,Class here: ‘genre’ subjects in art,https://ns.editeur.org/bic_categories/75
AGN,,https://ns.editeur.org/bic_categories/76
AGNB,,https://ns.editeur.org/bic_categories/77
AGP,,https://ns.editeur.org/bic_categories/78
AGR,,https://ns.editeur.org/bic_categories/79
AGZ,"Class here: textbooks and advanced level works on techniques, colour theory, perspective, etc. See WFA “Painting and art manuals” for hobbyist and ‘how-to’ manuals",https://ns.editeur.org/bic_categories/80
AJ,,https://ns.editeur.org/bic_categories/81
AJB,,https://ns.editeur.org/bic_categories/82
AJC,"Note: for collections of old photographs of specific places, use WQP “Places in old photographs”",https://ns.editeur.org/bic_categories/83
AJCP,,https://ns.editeur.org/bic_categories/84
AJCR,,https://ns.editeur.org/bic_categories/85
AJCX,,https://ns.editeur.org/bic_categories/86
AJG,"For digital cameras and photography, use AJG plus UDP “Digital photography: consumer/user guides”",https://ns.editeur.org/bic_categories/87
