notation,prefLabel,level
A,The arts,1
AB,The arts: general issues,2
ABA,Theory of art,3
ABC,"Conservation, restoration & care of artworks",3
ABK,"Forgery, falsification & theft of artworks",3
ABQ,Art: financial aspects,3
AC,History of art / art & design styles,2
ACB,Art styles not defined by date,3
ACBK,Art of indigenous peoples,4
ACBN,Naive art,4
ACBP,Oriental art,4
ACBS,Colonial art,4
ACC,History of art: pre-history,3
ACG,"History of art: ancient & classical art,BCE to c 500 CE",3
ACK,History of art: Byzantine & Medieval art c 500 CE to c 1400,3
ACN,History of art & design styles: c 1400 to c 1600,3
ACND,Renaissance art,4
ACNH,Art & design styles: Mannerism,4
ACQ,History of art & design styles: c 1600 to c 1800,3
ACQB,Art & design styles: Baroque,4
ACQH,Art & design styles: Classicism,4
ACV,History of art & design styles: c 1800 to c 1900,3
ACVC,Art & design styles: Romanticism,4
ACVM,Art & design styles: Pre-Raphaelite art,4
ACVN,Art & design styles: Arts & Crafts style,4
ACVT,Art & design styles: Impressionism & Post-Impressionism,4
ACVY,Art & design styles: Art Nouveau,4
ACX,History of art & design styles: from c 1900 -,3
ACXD,Art & design styles: c 1900 to c 1960,4
ACXD1,Art & design styles: Expressionism,5
ACXD2,Art & design styles: Modernist design & Bauhaus,5
ACXD3,Art & design styles: Art Deco,5
ACXD5,Art & design styles: Cubism,5
ACXD7,Art & design styles: Surrealism & Dada,5
ACXD9,Art & design styles: Abstract Expressionism,5
ACXJ,Art & design styles: from c 1960,4
ACXJ1,Art & design styles: Pop art,5
ACXJ4,Art & design styles: Minimalism,5
ACXJ5,Art & design styles: Conceptual art,5
ACXJ8,Art & design styles: Postmodernism,5
AF,Art forms,2
AFC,Painting & paintings,3
AFCC,Watercolours,4
AFCL,Oils,4
AFF,Drawing & drawings,3
AFH,Prints & printmaking,3
AFJ,Other graphic art forms,3
AFJD,Collage & photomontage,4
AFJG,Graffiti & street art,4
AFK,Non-graphic art forms,3
AFKB,Sculpture,4
AFKC,Carvings: artworks,4
AFKG,"Precious metal, precious stones & jewellery: artworks & design",4
AFKN,Installation art,4
AFKP,Performance art,4
AFKV,"Electronic, holographic & video art",4
AFP,"Ceramic arts, pottery, glass",3
AFPC,Ceramics: artworks,4
AFPM,Mosaics: artworks,4
AFPS,Stained glass: artworks,4
AFT,Decorative arts,3
AFTB,Folk art,4
AFTC,Celtic arts & crafts,4
AFW,Textile artworks,3
AFWD,Textile artworks: carpets & rugs,4
AFWH,"Textile artworks: tapestries, hangings & quilts",4
AFY,Body art & tattooing,3
AG,Art treatments & subjects,2
AGB,"Individual artists, art monographs",3
AGC,Exhibition catalogues & specific collections,3
AGH,Human figures depicted in art,3
AGHF,Portraits in art,4
AGHN,Nudes depicted in art,4
AGHX,Erotic art,4
AGK,"Small-scale, secular & domestic scenes in art",3
AGN,"Animals & nature in art (still life, landscapes & seascapes, etc)",3
AGNB,Botanical art,4
AGP,"Man-made objects depicted in art (cityscapes, machines, etc)",3
AGR,Religious subjects depicted in art,3
AGZ,Art techniques & principles,3
AJ,Photography & photographs,2
AJB,Individual photographers,3
AJC,Photographs: collections,3
AJCP,Photographs: portraits,4
AJCR,Photographic reportage,4
AJCX,Erotic & nude photography,4
AJG,Photographic equipment & techniques,3
AJR,Special kinds of photography,3
AJRD,"Cinematography, television camerawork",4
AJRH,Video photography,4
AJRK,Aerial photography,4
AK,Industrial / commercial art & design,2
AKB,Individual designers,3
AKC,Graphic design,3
AKD,Typography & lettering,3
AKH,Book design,3
AKL,Illustration & commercial art,3
AKLB,Illustration,4
AKLC,Comic book & cartoon art,4
AKLC1,Graphic novel & Manga artwork,5
AKLP,Poster art,4
AKP,Product design,3
AKR,Furniture design,3
AKT,Fashion & textiles: design,3
