notation,prefLabel,scopeNote
ContactPerson,Contact Person,"Person with knowledge of how to access, troubleshoot, or otherwise field issues related to the resource."
DataCollector,Data Collector,"Person/institution responsible for finding or gathering/collecting data under the guidelines of the author(s) or Principal Investigator (PI)."
DataCurator,Data Curator,"Person tasked with reviewing, enhancing, cleaning, or standardizing metadata and the associated data submitted for storage, use, and maintenance within a data centre or repository."
DataManager,Data Manager,"Person (or organisation with a staff of data managers, such as a data centre) responsible for maintaining the finished resource."
Distributor,Distributor,"Institution tasked with responsibility to generate/disseminate copies of the resource in either electronic or print form."
Editor,Editor,"A person who oversees the details related to the publication format of the resource."
HostingInstitution,Hosting Institution,"Typically, the organisation allowing the resource to be available on the internet through the provision of its hardware/software/operating support."
Producer,Producer,"Typically, a person or organisation responsible for the artistry and form of a media product."
ProjectLeader,Project Leader,"Person officially designated as head of project team or sub- project team instrumental in the work necessary to development of the resource."
ProjectManager,Project Manager,"Person officially designated as manager of a project. Project may consist of one or many project teams and sub-teams."
ProjectMember,Project Member,"Person on the membership list of a designated project/project team."
RegistrationAgency,Registration Agency,"Institution/organisation officially appointed by a Registration Authority to handle specific tasks within a defined area of responsibility."
RegistrationAuthority,Registration Authority,"A standards-setting body from which Registration Agencies obtain official recognition and guidance."
RelatedPerson,Related Person,"A person without a specifically defined role in the development of the resource, but who is someone the author wishes to recognize."
Researcher,Researcher,"A person involved in analysing data or the results of an experiment or formal study. May indicate an intern or assistant to one of the authors who helped with research but who was not so “key” as to be listed as an author."
ResearchGroup,Research Group,"Typically refers to a group of individuals with a lab, department, or division that has a specifically defined focus of activity."
RightsHolder,Rights Holder,"Person or institution owning or managing property rights, including intellectual property rights over the resource."
Sponsor,Sponsor,"Person or organisation that issued a contract or under the auspices of which a work has been written, printed, published, developed, etc."
Supervisor,Supervisor,"Designated administrator over one or more groups/teams working to produce a resource, or over one or more steps of a development process."
Translator,Translator,"A person, organization, or automated system responsible for converting the content of a resource from one language into another, preserving its meaning and intended message."
WorkPackageLeader,Work Package Leader,"A Work Package is a recognized data product, not all of which is included in publication. The package, instead, may include notes, discarded documents, etc. The Work Package Leader is responsible for ensuring the comprehensive contents, versioning, and availability of the Work Package during the development of the resource."
Other,Other,"Any person or institution making a significant contribution to the development and/or maintenance of the resource, but whose contribution is not adequately described by any of the other values for contributorType."
