notation,prefLabel,scopeNote
IsCitedBy,Is Cited By,"indicates that B includes A in a citation"
Cites,Cites,"indicates that A includes B in a citation"
IsSupplementTo,Is Supplement To,"indicates that A is a supplement to B"
IsSupplementedBy,Is Supplemented By,"indicates that B is a supplement to A"
IsContinuedBy,Is Continued By,"indicates A is continued by the work B"
Continues,Continues,"indicates A is a continuation of the work B"
Describes,Describes,"indicates A describes B"
IsDescribedBy,Is Described By,"indicates A is described by B"
HasMetadata,Has Metadata,"indicates resource A has additional metadata B"
IsMetadataFor,Is Metadata For,"indicates additional metadata A for a resource B"
HasVersion,Has Version,"indicates A has a version B"
IsVersionOf,Is Version Of,"indicates A is a version of B"
IsNewVersionOf,Is New Version Of,"indicates A is a new edition of B, where the new edition has been modified or updated"
IsPreviousVersionOf,Is Previous Version Of,"indicates A is a previous edition of B"
IsPartOf,Is Part Of,"indicates A is a portion of B; may be used for elements of a series"
HasPart,Has Part,"indicates A includes the part B"
IsPublishedIn,Is Published In,"indicates A is published inside B, but is independent of other things published inside of B"
IsReferencedBy,Is Referenced By,"indicates A is used as a source of information by B"
References,References,"indicates B is used as a source of information for A"
IsDocumentedBy,Is Documented By,"indicates B is documentation about/explaining A"
Documents,Documents,"indicates A is documentation about/explaining B"
IsCompiledBy,Is Compiled By,indicates B is used to compile or create A
Compiles,Compiles,"indicates B is the result of a compile or creation event using A"
IsVariantFormOf,Is Variant Form Of,"indicates A is a variant or different form of B"
IsOriginalFormOf,Is Original Form Of,"indicates A is the original form of B"
IsIdenticalTo,Is Identical To,"indicates that A is identical to B, for use when there is a need to register two separate instances of the same resource"
IsReviewedBy,Is Reviewd By,"indicates that A is reviewed by B"
Reviews,Reviews,"indicates that A is a review of B"
IsDerivedFrom,Is Derived From,"indicates B is a source upon which A is based"
IsSourceOf,Is Source Of,"indicates A is a source upon which B is based"
IsRequiredBy,Is Required By,"Indicates A is required by B"
Requires,Requires,"Indicates A requires B"
Obsoletes,Obsoletes,"Indicates A replaces B"
IsObsoletedBy,Is Obsoleted By,"Indicates A is replaced by B"
IsCollectedBy,Is Collected By,"Indicates A is collected by B"
Collects,Collects,"Indicates A collects B"
IsTranslationOf,Is Translation Of,"indicates A is a translation of B"
HasTranslation,Has Translation,"indicates A has a translation B"
