fromNotation,fromLabel,toNotation,toLabel
101,Ancient Cultures,6.1,History and archaeology
101,Ancient Cultures,6.2,Languages and literature
101-01,Prehistory,6.1,History and archaeology
101-02,Classical Philology,6.2,Languages and literature
101-03,Ancient History,6.1,History and archaeology
101-04,Classical Archaeology,6.1,History and archaeology
101-05,Egyptology and Ancient Near Eastern Studies,6.1,History and archaeology
102,History,6.1,History and archaeology
102-01,Medieval History,6.1,History and archaeology
102-02,Early Modern History,6.1,History and archaeology
102-03,Modern and Current History,6.1,History and archaeology
102-04,History of Science,6.3,"Philosophy, ethics and religion"
103,"Fine Arts, Music, Theatre and Media Studies",6.4,"Art (arts, history of arts, performing arts, music)"
103-01,Art History,6.4,"Art (arts, history of arts, performing arts, music)"
103-02,Musicology,6.4,"Art (arts, history of arts, performing arts, music)"
103-03,Theatre and Media Studies,6.4,"Art (arts, history of arts, performing arts, music)"
104,Linguistics,6.2,Languages and literature
104-01,General and Applied Linguistics,6.2,Languages and literature
104-02,Individual Linguistics,6.2,Languages and literature
104-03,"Typology, NonEuropean Languages, Historical Linguistics",6.2,Languages and literature
105,Literary Studies,6.2,Languages and literature
105-01,Medieval German Literature,6.2,Languages and literature
105-02,Modern German Literature,6.2,Languages and literature
105-03,European and American Literature,6.2,Languages and literature
105-04,General and Comparative Literature and Cultural Studies,6.2,Languages and literature
106,"NonEuropean Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies",6.3,"Philosophy, ethics and religion"
106,"NonEuropean Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies",5.4,Sociology
106,"NonEuropean Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies",6.2,Languages and literature
106-01,Social and Cultural Anthropology and Ethnology/Folklore,5.4,Sociology
106-02,Asian Studies,6.5,Other humanities
106-02,Asian Studies,6.2,Languages and literature
106-02,Asian Studies,5.4,Sociology
106-03,"African, American and Oceania Studies",6.5,Other humanities
106-03,"African, American and Oceania Studies",6.2,Languages and literature
106-03,"African, American and Oceania Studies",5.4,Sociology
106-04,"Islamic Studies, Arabian Studies, Semitic Studies",6.3,"Philosophy, ethics and religion"
106-04,"Islamic Studies, Arabian Studies, Semitic Studies",6.2,Languages and literature
106-04,"Islamic Studies, Arabian Studies, Semitic Studies",5.4,Sociology
106-05,Religious Studies and Jewish Studies,6.3,"Philosophy, ethics and religion"
106-05,Religious Studies and Jewish Studies,6.2,Languages and literature
106-05,Religious Studies and Jewish Studies,5.4,Sociology
107,Theology,6.3,"Philosophy, ethics and religion"
107-01,Protestant Theology,6.3,"Philosophy, ethics and religion"
107-02,Roman Catholic Theology,6.3,"Philosophy, ethics and religion"
108,Philosophy,6.3,"Philosophy, ethics and religion"
108-01,History of Philosophy,6.3,"Philosophy, ethics and religion"
108-02,Theoretical Philosophy,6.3,"Philosophy, ethics and religion"
108-03,Practical Philosophy,6.3,"Philosophy, ethics and religion"
109,Education Sciences,5.3,Educational sciences
109-01,General Education and History of Education,5.3,Educational sciences
109-02,"Research on Teaching, Learning, and Training",5.3,Educational sciences
109-03,Research on Socialization and Educational Institutions and Professions,5.3,Educational sciences
110,Psychology,5.1,Psychology
110-01,"General, Biological and Mathematical Psychology",5.1,Psychology
110-02,Developmental and Educational Psychology,5.1,Psychology
110-02,Developmental and Educational Psychology,5.3,Educational sciences
110-03,"Social Psychology, Industrial and Organisational Psychology",5.1,Psychology
110-04,"Differential Psychology, Clinical Psychology, Medical Psychology, Methodology",5.1,Psychology
111,Social Sciences,5,Social sciences 
111-01,Sociological Theory,5.4,Sociology
111-02,Empirical Social Research,5.4,Sociology
111-02,Empirical Social Research,5.9,Other social sciences
111-03,Communication Sciences,5.8,Media and communications
111-04,Political Science,5.6,Political Science
112,Economics,5.2,Economics and business
112-01,Economic Theory,5.2,Economics and business
112-02,Economic and Social Policy,5.2,Economics and business
112-03,Public Finance,5.6,Political Science
112-03,Public Finance,5.2,Economics and business
112-04,Business Administration,5.2,Economics and business
112-05,Statistics and Econometrics,5.2,Economics and business
112-06,Economic and Social History,5.2,Economics and business
113,Jurisprudence,5.5,Law
113-01,"Legal and Political Philosophy, Legal History, Legal Theory",5.5,Law
113-02,Private Law,5.5,Law
113-03,Public Law,5.5,Law
113-04,Criminal Law and Law of Criminal Procedure,5.5,Law
113-05,Criminology,5.5,Law
201,Basic Biological and Medical Research,1.6,Biological sciences
201-01,Biochemistry,1.6,Biological sciences
201-02,Biophysics,1.6,Biological sciences
201-03,Cell Biology,1.6,Biological sciences
201-04,Structural Biology,1.6,Biological sciences
201-05,General Genetics,1.6,Biological sciences
201-06,Developmental Biology,1.6,Biological sciences
201-07,Bioinformatics and Theoretical Biology,1.6,Biological sciences
201-07,Bioinformatics and Theoretical Biology,1.2,Computer and information sciences
201-08,Anatomy,1.6,Biological sciences
201-08,Anatomy,3.1,Basic medicine
202,Plant Sciences,1.6,Biological sciences
202-01,Plant Systematics and Evolution,1.6,Biological sciences
202-02,Plant Ecology and Ecosystem Analysis,1.6,Biological sciences
202-03,Interorganismic Interactions of Plants,1.6,Biological sciences
202-04,Plant Physiology,1.6,Biological sciences
202-05,Plant Biochemistry and Biophysics,1.6,Biological sciences
202-06,Plant Cell and Developmental Biology,1.6,Biological sciences
202-07,Â Plant Genetics,1.6,Biological sciences
203,Zoology,1.6,Biological sciences
203-01,Systematics and Morphology,1.6,Biological sciences
203-02,"Evolution, Anthropology",1.6,Biological sciences
203-03,"Animal Ecology, Biodiversity and Ecosystem Research",1.6,Biological sciences
203-04,Sensory and Behavioural Biology,1.6,Biological sciences
203-05,Biochemistry and Animal Physiology,1.6,Biological sciences
203-06,"Animal Genetics, Cell and Developmental Biology",1.6,Biological sciences
204,"Microbiology, Virology and Immunology",1.6,Biological sciences
204,"Microbiology, Virology and Immunology",3.1,Basic medicine
204,"Microbiology, Virology and Immunology",3.3,Health sciences
204-01,"Metabolism, Biochemistry and Genetics of Microorganisms",1.6,Biological sciences
204-02,Microbial Ecology and Applied Microbiology,1.6,Biological sciences
204-03,"Medical Microbiology, Molecular Infection Biology",3.1,Basic medicine
204-03,"Medical Microbiology, Molecular Infection Biology",1.6,Biological sciences
204-04,Virology,1.6,Biological sciences
204-05,Immunology,3.1,Basic medicine
205,Medicine,3.1,Basic medicine
205,Medicine,1.6,Biological sciences
205-01,"Epidemiology, Medical Biometry, Medical Informatics",3.3,Health sciences
205-01,"Epidemiology, Medical Biometry, Medical Informatics",1.2,Computer and information sciences
205-02,"Public Health, Health Services Research, Social Medicine",3.3,Health sciences
205-03,Human Genetics,1.6,Biological sciences
205-03,Human Genetics,3.1,Basic medicine
205-04,Physiology,3.1,Basic medicine
205-05,Nutritional Sciences,3.3,Health sciences
205-06,Pathology and Forensic Medicine,3.1,Basic medicine
205-06,Pathology and Forensic Medicine,3.5,Other medical sciences
205-07,Clinical Chemistry and Pathobiochemistry,3.1,Basic medicine
205-07,Clinical Chemistry and Pathobiochemistry,2.6,Medical engineering
205-08,Pharmacy,3.1,Basic medicine
205-09,Pharmacology,3.1,Basic medicine
205-10,Toxicology and Occupational Medicine,3.1,Basic medicine
205-11,Anaesthesiology,3.2,Clinical medicine
205-12,"Cardiology, Angiology",3.2,Clinical medicine
205-13,"Pneumology, Clinical Infectiology, Intensive Care Medicine",3.2,Clinical medicine
205-14,"Hematology, Oncology, Transfusion Medicine",3.2,Clinical medicine
205-15,"Gastroenterology, Metabolism",3.2,Clinical medicine
205-16,Nephrology,3.2,Clinical medicine
205-17,"Endocrinology, Diabetology",3.2,Clinical medicine
205-18,"Rheumatology, Clinical Immunology, Allergology",3.2,Clinical medicine
205-19,Dermatology,3.2,Clinical medicine
205-20,Pediatric and Adolescent Medicine,3.2,Clinical medicine
205-21,Gynaecology and Obstetrics,3.2,Clinical medicine
205-22,Reproductive Medicine/Biology,3.2,Clinical medicine
205-22,Reproductive Medicine/Biology,1.6,Biological sciences
205-23,Urology,3.2,Clinical medicine
205-24,Gerontology and Geriatric Medicine,3.2,Clinical medicine
205-25,Vascular and Visceral Surgery,3.2,Clinical medicine
205-26,Cardiothoracic Surgery,3.2,Clinical medicine
205-27,Traumatology and Orthopaedics,3.2,Clinical medicine
205-28,"Dentistry, Oral Surgery",3.2,Clinical medicine
205-29,Otolaryngology,3.2,Clinical medicine
205-30,Radiology and Nuclear Medicine,3.2,Clinical medicine
205-31,Radiation Oncology and Radiobiology,3.2,Clinical medicine
205-32,Biomedical Technology and Medical Physics,3.4,Health biotechnology
206,Neurosciences,3.1,Basic medicine
206,Neurosciences,1.6,Biological sciences
206-01,Molecular Neuroscience and Neurogenetics,3.1,Basic medicine
206-01,Molecular Neuroscience and Neurogenetics,1.6,Biological sciences
206-02,Cellular Neuroscience,3.1,Basic medicine
206-02,Cellular Neuroscience,1.6,Biological sciences
206-03,Developmental Neurobiology,1.6,Biological sciences
206-04,"Systemic Neuroscience, Computational Neuroscience, Behaviour",1.6,Biological sciences
206-04,"Systemic Neuroscience, Computational Neuroscience, Behaviour",3.1,Basic medicine
206-04,"Systemic Neuroscience, Computational Neuroscience, Behaviour",1.2,Computer and information sciences 
206-05,Comparative Neurobiology,1.6,Biological sciences
206-05,Comparative Neurobiology,3.1,Basic medicine
206-06,Cognitive Neuroscience and Neuroimaging,3.1,Basic medicine
206-06,Cognitive Neuroscience and Neuroimaging,1.6,Biological sciences
206-06,Cognitive Neuroscience and Neuroimaging,3.2,Clinical medicine
206-07,Molecular Neurology,3.2,Clinical medicine
206-07,Molecular Neurology,1.6,Biological sciences
