level,notation,prefLabel
0,1,Geistes- und Sozialwissenschaften
1,11,Geisteswissenschaften
2,101,Alte Kulturen
3,101-01,Ur- und Frühgeschichte (weltweit)
3,101-02,Klassische Philologie
3,101-03,Alte Geschichte
3,101-04,Klassische Archäologie
3,101-05,"Ägyptische und Vorderasiatische Altertumswissenschaften"
2,102,Geschichtswissenschaften
3,102-01,Mittelalterliche Geschichte
3,102-02,Frühneuzeitliche Geschichte
3,102-03,"Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte)"
3,102-04,Wissenschaftsgeschichte
2,103,"Kunst-, Musik-, Theater- und Medienwissenschaften"
3,103-01,Kunstgeschichte
3,103-02,Musikwissenschaften
3,103-03,Theater- und Medienwissenschaften
2,104,Sprachwissenschaften
3,104-01,"Allgemeine und Vergleichende Sprachwissenschaft, Typologie, Außereuropäische Sprachen"
3,104-02,Einzelsprachwissenschaften
3,104-03,Historische Linguistik
3,104-04,"Angewandte Sprachwissenschaften, Experimentelle Linguistik, Computerlinguistik"
2,105,Literaturwissenschaft
3,105-01,"Ältere deutsche Literatur"
3,105-02,Neuere deutsche Literatur
3,105-03,Europäische und Amerikanische Literaturen
3,105-04,Allgemeine und vergleichende Literaturwissenschaft; Kulturwissenschaft
2,106,"Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft"
3,106-01,Ethnologie und Europäische Ethnologie
3,106-02,Asienbezogene Wissenschaften
3,106-03,"Afrika-, Amerika- und Ozeanienbezogene Wissenschaften"
3,106-04,"Islamwissenschaften, Arabistik, Semitistik"
3,106-05,Religionswissenschaft und Judaistik
2,107,Theologie
3,107-01,Evangelische Theologie
3,107-02,Katholische Theologie
2,108,Philosophie
3,108-01,Geschichte der Philosophie
3,108-02,Theoretische Philosophie
3,108-03,Praktische Philosophie
1,12,Sozial- und Verhaltenswissenschaften
2,109,Erziehungswissenschaft und Bildungsforschung
3,109-01,Allgemeine und Historische Erziehungswissenschaft
3,109-02,Allgemeines und fachbezogenes Lehren und Lernen
3,109-03,Bildungssysteme und Bildungsinstitutionen
3,109-04,Erziehungswissenschaftliche Sozialisations- und Professionalitätsforschung
2,110,Psychologie
3,110-01,"Allgemeine, Kognitive und Mathematische Psychologie"
3,110-02,Biologische Psychologie und Kognitive Neurowissenschaften
3,110-03,Entwicklungspsychologie und Pädagogische Psychologie
3,110-04,Sozialpsychologie und Arbeits- und Organisationspsychologie
3,110-05,"Differentielle, Klinische und Medizinische Psychologie, Methoden"
2,111,Sozialwissenschaften
3,111-01,Soziologische Theorie
3,111-02,Empirische Sozialforschung
3,111-03,Publizistik und Kommunikationswissenschaft
3,111-04,Politikwissenschaft
2,112,Wirtschaftswissenschaften
3,112-01,Wirtschaftstheorie
3,112-02,"Wirtschaftspolitik, Angewandte Volkswirtschaftlehre"
3,112-03,Betriebswirtschaftslehre
3,112-04,"Statistik und Ökonometrie"
3,112-05,Wirtschafts- und Sozialgeschichte
2,113,Rechtswissenschaften
3,113-01,Grundlagen des Rechts und der Rechtswissenschaft
3,113-02,Privatrecht
3,113-03,"Öffentliches Recht"
3,113-04,Strafrecht
3,113-05,Kriminologie
0,2,Lebenswissenschaften
1,21,Biologie
2,201,Grundlagen der Biologie und Medizin
3,201-01,Biochemie
3,201-02,Biophysik
3,201-03,Zellbiologie
3,201-04,Strukturbiologie
3,201-05,Allgemeine Genetik und funktionelle Genomforschung
3,201-06,Entwicklungsbiologie
3,201-07,Bioinformatik und Theoretische Biologie
2,202,Pflanzenwissenschaften
3,202-01,Evolution und Systematik der Pflanzen und Pilze
3,202-02,"Ökologie und Biodiversität der Pflanzen und Ökosysteme"
3,202-03,"Organismische Interaktionen, chemische Ökologie und Mikrobiome pflanzlicher Systeme"
3,202-04,Pflanzenphysiologie
3,202-05,Biochemie und Biophysik der Pflanzen
3,202-06,Zell- und Entwicklungsbiologie der Pflanzen
3,202-07,Genetik der Pflanzen
2,203,Zoologie
3,203-01,Systematik und Morphologie der Tiere
3,203-02,"Evolution, Anthropologie"
3,203-03,"Ökologie und Biodiversität der Tiere und Ökosysteme, Organismische Interaktionen"
3,203-04,Biologie des Verhaltens und der Sinne
3,203-05,Biochemie und Physiologie der Tiere
3,203-06,Evolutionäre Zell- und Entwicklungsbiologie der Tiere
2,204,"Mikrobiologie, Virologie und Immunologie"
3,204-01,"Stoffwechselphysiologie, Biochemie und Genetik der Mikroorganismen"
3,204-02,"Mikrobielle Ökologie und Angewandte Mikrobiologie"
3,204-03,"Medizinische Mikrobiologie und Mykologie, Hygiene, Molekulare Infektionsbiologie"
3,204-04,Virologie
3,204-05,Immunologie
