level,notation,prefLabel@de,prefLabel@en
0,1,Geistes- und Sozialwissenschaften,Humanities and Social Sciences
2,101,Alte Kulturen,Ancient Cultures
2,102,Geschichtswissenschaften,History
2,103,"Kunst-, Musik-, Theater- und Medienwissenschaften","Art History, Music, Theatre and Media Studies"
2,104,Sprachwissenschaften,Linguistics
2,105,Literaturwissenschaft,Literary Studies
2,106,"Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft","Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies"
2,107,Theologie,Theology
2,108,Philosophie,Philosophy
2,109,Erziehungswissenschaft und Bildungsforschung,Educational Research
2,110,Psychologie,Psychology
2,111,Sozialwissenschaften,Social Sciences
2,112,Wirtschaftswissenschaften,Economics
2,113,Rechtswissenschaften,Jurisprudence
1,11,Geisteswissenschaften,Humanities
1,12,Sozial- und Verhaltenswissenschaften,Social and Behavioural Sciences
2,201,Grundlagen der Biologie und Medizin,Basic Research in Biology and Medicine
2,202,Pflanzenwissenschaften,Plant Sciences
2,203,Zoologie,Zoology
2,204,"Mikrobiologie, Virologie und Immunologie","Microbiology, Virology and Immunology"
2,205,Medizin,Medicine
2,206,Neurowissenschaften,Neurosciences
2,207,"Agrar-, Forstwissenschaften und Tiermedizin","Agriculture, Forestry and Veterinary Medicine"
1,21,Biologie,Biology
1,22,Medizin,Medicine
1,23,"Agrar-, Forstwissenschaften und Tiermedizin","Agriculture, Forestry and Veterinary Medicine"
0,2,Lebenswissenschaften,Life Sciences
2,307,Physik der kondensierten Materie,Condensed Matter Physics
2,308,"Optik, Quantenoptik und Physik der Atome, Moleküle und Plasmen","Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas"
2,309,"Teilchen, Kerne und Felder","Particles, Nuclei and Fields"
2,310,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik","Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics"
2,311,Astrophysik und Astronomie,Astrophysics and Astronomy
2,312,Mathematik,Mathematics
2,313,"Atmosphären-, Meeres- und Klimaforschung","Atmospheric Science, Oceanography and Climate Research"
2,314,Geologie und Paläontologie,Geology and Palaeontology
2,315,Geophysik und Geodäsie,Geophysics and Geodesy
2,316,"Mineralogie, Petrologie und Geochemie","Mineralogy, Petrology and Geochemistry"
2,317,Geographie,Geography
2,318,Wasserforschung,Water Research
1,31,Chemie,Chemistry
2,321,Molekülchemie,Molecular Chemistry
2,322,Chemische Festkörper- und Oberflächenforschung,Chemical Solid State and Surface Research
2,323,Physikalische Chemie,Physical Chemistry
2,324,Analytische Chemie,Analytical Chemistry
2,325,Biologische Chemie und Lebensmittelchemie,Biological Chemistry and Food Chemistry
2,326,Polymerforschung,Polymer Research
2,327,Theoretische Chemie,Theoretical Chemistry
1,32,Physik,Physics
1,33,Mathematik,Mathematics
1,34,Geowissenschaften,Geosciences 
0,3,Naturwissenschaften,Natural Sciences
2,401,Produktionstechnik,Production Technology
2,402,Mechanik und Konstruktiver Maschinenbau,Mechanics and Constructive Mechanical Engineering
2,403,"Verfahrenstechnik, Technische Chemie","Process Engineering, Technical Chemistry"
2,404,"Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik","Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering"
2,405,Werkstofftechnik,Materials Engineering
2,406,Materialwissenschaft,Materials Science
2,407,Systemtechnik,Systems Engineering
2,408,Elektrotechnik und Informationstechnik,Electrical Engineering and Information Technology
2,409,Informatik,Computer Science
2,410,Bauwesen und Architektur,Construction Engineering and Architecture
1,41,Maschinenbau und Produktionstechnik,Mechanical and Industrial Engineering
1,42,Wärmetechnik/Verfahrenstechnik,Thermal Engineering/ Process Engineering
1,43,Materialwissenschaft und Werkstofftechnik,Materials Science and Engineering
1,44,"Informatik, System- und Elektrotechnik","Computer Science, Systems and  Electrical Engineering"
1,45,Bauwesen und Architektur,Construction Engineering and Architecture
0,4,Ingenieurwissenschaften,Engineering Sciences
3,101-01,Ur- und Frühgeschichte (weltweit),Prehistory and World Archaeology
3,101-02,Klassische Philologie,Classical Philology
3,101-03,Alte Geschichte,Ancient History
3,101-04,Klassische Archäologie,Classical Archaeology
3,101-05,"Ägyptische und Vorderasiatische Altertumswissenschaften",Egyptology and Ancient Near Eastern Studies
3,102-01,Mittelalterliche Geschichte,Medieval History
3,102-02,Frühneuzeitliche Geschichte,Early Modern History
