level,notation,prefLabel
0,Al,Allgemeines
1,Al 1,Allgemeine Nachschlagewerke
2,Al 1.1,Allgemeine Jahrbücher
2,Al 1.2,Allgemeine biografische Nachschlagewerke
2,Al 1.3,Weitere Formen allgemeiner Nachschlagewerke
1,Al 2,"Wissenschaftskunde. Organisation und Förderung
von Kultur und Wissenschaft"
2,Al 2.1,"Geschichte, Grundlagen und Methoden der Wissenschaft"
2,Al 2.2,"Methodik und Technik der geistigen Arbeit. Geistiges
Training"
3,Al 2.2.1,Schriftliche Arbeiten
2,Al 2.3,Organisation und Förderung von Kultur
2,Al 2.4,"Organisation und Förderung von Wissenschaft und
Forschung"
1,Al 3,"Kommunikationswissenschaft, Medienwissenschaft,
Publizistik"
2,Al 3.1,"Publizistik, Journalismus"
2,Al 3.2,"Medientheorie, Medienforschung"
2,Al 3.3,"Kommunikationsprozess, Kommunikationspraxis"
1,Al 4,"Schrift und Textgestaltung, Buchwesen"
2,Al 4.1,Schrift und Schreiben
2,Al 4.2,Textgestaltung und Drucktechnik
2,Al 4.3,"Buchgewerbe, Buchhandel, Verlagswesen"
1,Al 5,"Bibliothekswesen, Informations- und
Dokumentationswesen, Archivwesen"
1,Al 6,Weitere Themen
0,Er,"Erdkunde, Ethnologie"
1,Er 1,Allgemeines
2,Er 1.1,"Nachschlagewerke, Bibliografien, Einführungen"
2,Er 1.2,"Entdeckungsgeschichte, Leben und Werk einzelner
Geografen und Entdecker"
3,Er 1.2.1,"Reiseliteratur, Reisebeschreibungen, Forschungsreisen"
2,Er 1.3,"Kartografie, Geografische Informationssysteme,
Satellitennavigation"
2,Er 1.4,Weltatlanten
2,Er 1.5,Physische Geografie
2,Er 1.6,Anthropogeografie
2,Er 1.7,Tourismus allgemein
2,Er 1.8,Allgemeine Reiseratgeber
2,Er 1.9,Allgemeine Länderkunde
1,Er 2,Europa
2,Er 2.1,Alpen
2,Er 2.2,Südtirol
3,Er 2.2.1,Vinschgau
3,Er 2.2.2,Burggrafenamt
3,Er 2.2.3,"Bozen, Salten-Schlern"
3,Er 2.2.4,"Überetsch, Unterland"
3,Er 2.2.5,"Eisacktal, Wipptal"
3,Er 2.2.6,"Gröden, Gadertal"
3,Er 2.2.7,Pustertal
2,Er 2.3,Italien
3,Er 2.3.1,"Trentino, Friaul-Julisch-Venetien, Venetien"
3,Er 2.3.2,"Aosta, Piemont, Lombardei"
3,Er 2.3.3,"Ligurien, Emilia Romagna, Marken"
3,Er 2.3.4,"Toskana, Umbrien, Abruzzen"
3,Er 2.3.5,Rom und Latium
3,Er 2.3.6,"Molise, Kampanien"
3,Er 2.3.7,"Apulien, Basilikata, Kalabrien"
3,Er 2.3.8,"Sizilien, Sardinien"
2,Er 2.4,Österreich
3,Er 2.4.1,Wien
3,Er 2.4.2,Nord- und Osttirol
3,Er 2.4.3,"Einzelne Landesteile, Regionen und Orte"
2,Er 2.5,Deutschland
3,Er 2.5.1,Berlin
3,Er 2.5.2,"Einzelne Landesteile, Regionen und Orte"
2,Er 2.6,"Mitteleuropa, Westeuropa"
3,Er 2.6.1,Schweiz
3,Er 2.6.2,"Tschechien, Slowakei"
3,Er 2.6.3,Ungarn
3,Er 2.6.4,Polen
3,Er 2.6.5,Frankreich
3,Er 2.6.6,"Belgien, Niederlande, Luxemburg"
3,Er 2.6.7,Großbritannien
3,Er 2.6.8,Irland
2,Er 2.7,Nordeuropa
3,Er 2.7.1,Dänemark
3,Er 2.7.2,Norwegen
3,Er 2.7.3,Schweden
3,Er 2.7.4,Finnland
3,Er 2.7.5,Island
2,Er 2.8,Osteuropa
3,Er 2.8.1,"Estland, Lettland, Litauen"
3,Er 2.8.2,"Russland, Weißrussland, Georgien, Ukraine und
Moldawien"
2,Er 2.9,"Südeuropa, Südosteuropa"
3,Er 2.9.1,Spanien
3,Er 2.9.2,Portugal
3,Er 2.9.3,Griechenland
3,Er 2.9.4,"Jugoslawien, Kroatien, Slowenien, Bosnien-Herzegowina,
Makedonien, Serbien"
3,Er 2.9.5,Bulgarien
3,Er 2.9.6,Rumänien
3,Er 2.9.7,Albanien
3,Er 2.9.8,Weitere Länder
1,Er 3,Asien
2,Er 3.1,Vorderasien
3,Er 3.1.1,Türkei
3,Er 3.1.2,"Israel, Palästina"
3,Er 3.1.3,"Syrien, Libanon, Jordanien"
3,Er 3.1.4,"Irak, Kuwait, Saudi-Arabien, Vereinigte Arabische Emirate,
Jemen, Oman"
3,Er 3.1.5,"Iran, Afghanistan"
2,Er 3.2,"Südasien, Südostasien"
3,Er 3.2.1,"Indien, Pakistan"
3,Er 3.2.2,"Thailand, Singapur, Malaysia"
3,Er 3.2.3,"Vietnam, Laos, Kambodscha"
3,Er 3.2.4,Weitere Länder
2,Er 3.3,"Ostasien, Zentralasien"
3,Er 3.3.1,"Nepal, Tibet, Bhutan"
3,Er 3.3.2,"Mongolei, Korea"
3,Er 3.3.3,"China, Taiwan"
3,Er 3.3.4,Japan
3,Er 3.3.5,"Armenien, Aserbaidschan, Kasachstan, Kirgisien,
Tadschikistan, Turkmenistan, Usbekistan"
1,Er 4,Afrika
2,Er 4.1,Nordafrika
3,Er 4.1.1,"Marokko, Algerien, Tunesien, Libyen"
3,Er 4.1.2,"Westsahara, Mauretanien, Mali, Niger, Tschad"
3,Er 4.1.3,"Ägypten, Sudan"
2,Er 4.2,"Westafrika, Zentralafrika, Ostafrika"
3,Er 4.2.1,"Kenia, Tansania, Senegal"
3,Er 4.2.2,Weitere Länder
2,Er 4.3,Südliches Afrika
3,Er 4.3.1,"Südafrika, Namibia"
3,Er 4.3.2,Weitere Länder
2,Er 4.4,"Madagaskar, Mauritius, Seychellen und weitere
afrikanische Inseln"
1,Er 5,Amerika
2,Er 5.1,Nordamerika
3,Er 5.1.1,Kanada
3,Er 5.1.2,USA
2,Er 5.2,Mittelamerika
3,Er 5.2.1,Mexiko
3,Er 5.2.2,"Kuba, Jamaika, Dominikanische Republik"
3,Er 5.2.3,Weitere Länder
2,Er 5.3,Südamerika
3,Er 5.3.1,"Ecuador, Peru, Bolivien, Chile, Venezuela"
3,Er 5.3.2,Brasilien
3,Er 5.3.3,Argentinien
3,Er 5.3.4,Weitere Länder
1,Er 6,"Australien, Neuseeland, Ozeanien, Arktis, Antarktis"
2,Er 6.1,Australien
2,Er 6.2,Neuseeland
2,Er 6.3,Ozeanien
2,Er 6.4,"Arktis, Antarktis"
1,Er 7,Ethnologie
2,Er 7.1,Völker Amerikas
2,Er 7.2,Weitere Völker
1,Er 9,Weitere Themen
1,Er 10,"Fachdidaktik für den Erdkundeunterricht, Schulbücher"
0,Ge,"Geschichte, Kulturgeschichte, Volkskunde"
1,Ge 1,Allgemeines
2,Ge 1.1,"Nachschlagewerke, Bibliografien, Einführungen"
2,Ge 1.2,"Geschichtswissenschaft, Geschichtsschreibung"
1,Ge 2,Historische Hilfswissenschaften
2,Ge 2.1,"Handschriftenkunde, Inschriftenkunde, Urkundenlehre"
2,Ge 2.2,"Ahnenforschung, Geschlechterkunde, Familienkunde"
2,Ge 2.3,"Wappenkunde, Siegelkunde, Fahnen- und Flaggenkunde,
Insignienkunde"
2,Ge 2.4,Münzkunde
2,Ge 2.5,Archäologie (Allgemeines)
2,Ge 2.9,Weitere historische Hilfswissenschaften
1,Ge 3,Weltgeschichte
2,Ge 3.3,Vor- und Frühgeschichte
2,Ge 3.4,Altertum
3,Ge 3.4.1,Geschichte des Alten Orients
3,Ge 3.4.2,Griechische Antike
3,Ge 3.4.3,Römische Antike
3,Ge 3.4.4,Geschichte des Byzantinischen Reiches
3,Ge 3.4.5,Keltische und germanische Geschichte einschließlich Völkerwanderung
2,Ge 3.5,Mittelalter
3,Ge 3.5.1,Herrscher und Reiche
3,Ge 3.5.2,Kirche im Mittelalter
3,Ge 3.5.3,Adel und Rittertum
3,Ge 3.5.4,Lebenswelten im Mittelalter
3,Ge 3.5.5,Wirtschaft im Mittelalter
