level,notation,prefLabel@de,scopeNote@de
"0","A","Informations- und bibliographischer Apparat. Buch- und Bibliothekswesen Hochschule, Studium, Beruf",""
"1","AA","Informationsapparat",""
"2","AA 100","Allgemein-Enzyklopädien",""
"3","AA 110","Deutschsprachige Allgemein-Enzyklopädien",""
"3","AA 120","Englischsprachige Allgemein-Enzyklopädien",""
"3","AA 130","Romanische Allgemein-Enzyklopädien",""
"3","AA 140","Slawische Allgemein-Enzyklopädien",""
"3","AA 150","Sonstige Allgemein-Enzyklopädien",""
"2","AA 200","Biographische Nachschlagewerke",""
"3","AA 210","Allgemeine",""
"3","AA 220","Fachliche, nach Berufs- oder Statusgruppen; geordnete biographische Nachschlagewerke",""
"3","AA 250","Pseudonymen-Verzeichnisse",""
"2","AA 300","Geographisch bezogene Nachschlagewerke",""
"3","AA 310","Allgemeines",""
"2","AA 400","Verzeichnisse von und über Körperschaften, Firmen, Organisationen",""
"3","AA 410","Allgemeine",""
"3","AA 420","Berufsverbände.",""
"2","AA 500","Abkürzungsverzeichnisse",""
"1","AB","Zeitschrifteninhaltsverzeichnisse",""
"2","AB 800","Zeitschrifteninhaltsverzeichnisse",""
"1","AC","Bibliographischer Apparat",""
"2","AC 10","Bibliographien der Bibliographien. Internationale Bibliographien",""
"2","AC 100","Nationalbibliographien, Bibliothekskataloge, Buchhandelsverzeichnisse des deutschen Sprachkreises",""
"3","AC 110","Nationalbibliographien",""
"3","AC 130","Bibliiothekskataloge,",""
"3","AC 140","Buchhandelsverzeichnisse",""
"2","AC 200","Nationalbibliographien, Bibliothekskataloge, Buchhandelsverzeichnisse des romanischen Sprachkreises",""
"3","AC 210","Nationalbibliographien",""
"3","AC 230","Bibliiothekskataloge,",""
"3","AC 240","Buchhandelsverzeichnisse",""
"2","AC 300","Nationalbibliographien, Bibliothekskataloge, Buchhandelsverzeichnisse des englischen Sprachkreises",""
"3","AC 310","Nationalbibliographien",""
"3","AC 330","Bibliiothekskataloge,",""
"3","AC 340","Buchhandelsverzeichnisse",""
"2","AC 400","Nationalbibliographien, Bibliothekskataloge, Buchhandelsverzeichnisse des sonstiger Sprachkreises",""
"3","AC 410","Nationalbibliographien",""
"3","AC 430","Bibliiothekskataloge,",""
"3","AC 440","Buchhandelsverzeichnisse",""
"2","AC 500","Zeitschriftenverzeichnisse",""
"3","AC 510","Internationale und/oder allgemeiene Verzeichnisse",""
"3","AC 515","Philologische Fachzeitschriftenverzeichnisse",""
"3","AC 520","Regional- und Ortsverzeichnisse",""
"3","AC 521","Deutschsprachig",""
"3","AC 523","Englischsprachig",""
"3","AC 524","Romanisch",""
"3","AC 525","Slawisch",""
"2","AC 600","Sonstige bibliographische Verzeichnisse",""
"3","AC 610","Handschriftenverzeichnisse",""
"3","AC 620","Frühdruck- und Inkunabeln-Verzeichnisse",""
"3","AC 630","Bibliographien der Gesellschaftsschriften",""
"3","AC 650","Bibliographien der Kongreßschriften",""
"3","AC 660","Bibliographien der Autobiographien",""
"3","AC 670","Bibliographien der/von Rezensionen",""
"3","AC 690","Sonstige bibliographische Verzeichnisse",""
"1","AD","Buch- und Bibliothekswesen",""
"2","AD 10","Handbücher",""
"2","AD 20","Spezielle Bibliographien",""
"2","AD 25","Forschungsdokumentationen",""
"2","AD 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","AD 35","Zeitschriften",""
"2","AD 40","Gesamtdarstellungen",""
"2","AD 50","Einführende Texte.",""
"2","AD 100","Schriftwesen",""
"3","AD 110","Typographie (Schrift- und Schreiben)",""
"3","AD 150","Handschriftenkunde",""
"2","AD 200","Buchwesen",""
"3","AD 210","Buchwesen allgemein",""
"3","AD 220","Geschichte des Buchwesens",""
"3","AD 230","Inkunabelnkunde",""
"3","AD 235","Buchdruck",""
"3","AD 240","Buchkunst",""
"3","AD 245","Bibliophilie",""
"2","AD 250-","Verlagswesen- und Buchhandel",""
"3","AD 250","Allgemeines",""
"3","AD 260","Verlags- und Buchhandelsgeschichte",""
"3","AD 270","Geschichte einzelner Verlage und/oder Buchhandelsunternehmen (auch mit Verlags-Bibliographien)",""
"3","AD 275","Antiquariatskataloge",""
"3","AD 280","Einzelfragen.",""
"3","AD 290","Geschichte einzelner Zeitschriften u. ä.",""
"2","AD 400","Bibliothekswesen",""
"3","AD 410","Geschichte des Bibliothekswesens",""
"3","AD 420","Geschichte einzelner Bibliotheken oder Büchersammlungen",""
"3","AD 425","Bibliothekskataloge.",""
"3","AD 430","Bibliotheksverwaltung allgemein",""
"3","AD 435","Einzelfragen der Bibliotheksverwaltung. Historische Darstellungen zu Einzelfragen der Bibliotheksverwaltung",""
"2","AD 600","Informationswissenschaft",""
"3","AD 610","Allgemeines",""
"3","AD 650","Einzelfragen",""
"2","AD 700","Dokumentationswesen",""
"3","AD 710","Allgemeines",""
"3","AD 720","Einzelfragen",""
"2","AD 800-","Archivwesen",""
"3","AD 800","Allgemeines",""
"3","AD 810","Inventrare/Findbücher",""
"2","AD 900-","Elektronisches Publizieren",""
"3","AD 900","Allgemeines",""
"1","AG","Hochschule, Studium, Beruf. Festschriften",""
"2","AG 10","Handbücher",""
"2","AG 20","Spezielle Bibliographien",""
"2","AG 25","Forschungsdokumentationen",""
"2","AG 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","AG 35","Zeitschriften",""
"2","AG 40","Gesamtdarstellungen",""
"2","AG 50","Einführende Texte. Lehrbücher.",""
"2","AG 100","Allgemeines zu Hochschule, Studium und Beruf",""
"2","AG 120","Verzeichnisse wissenschaftlicher Einrichtungen",""
"2","AG 140","Organisation der Wissenschaft/en",""
"2","AG 160","Hochschulorganisation",""
"2","AG 180","Studienführer. Hochschulführer",""
"2","AG 190","Vorlesungsverzeichnisse",""
"2","AG 200","Studium und Beruf.",""
"2","AG 210","Akademische Berufe.",""
"2","AG 250","Einführung in wissenschaftliches Arbeiten und wissenschaftliches Publizieren",""
"2","AG 300","Hochschuldidaktik.",""
"2","AG 600-","Hochschulgeschichte",""
"3","AG 600","Allgemeines",""
"3","AG 620","Geschichte einzelner Hochschulen",""
"3","AG 630","Einzelfragen der Hochschulgeschichte",""
"3","AG 650","Hochschule als Institution,",""
"0","B","Wörterbücher",""
"1","BB","Wörterbücher",""
"2","BB 100","Deutsch",""
"3","BB 120","Neuhochdeutsch. Frühneuhochdeutsch",""
"3","BB 125","Mittelhochdeutsch",""
"3","BB 130","Althochdeutsch",""
"3","BB 140","Mittelniederdeutsch, Regional- und Sondersprachen, Dialekte, Slang",""
"3","BB 150","Etymologische Wörterbücher",""
"3","BB 155","Idiomatische Wörterbücher. (Thesauri. Synonymen-Wörterbücher)",""
"3","BB 160","Aussprachewörterbücher",""
"3","BB 165","Rückläufige Wörterbücher",""
"3","BB 170","Fachsprachliche Wörterbücher",""
"2","BB 200","Englisch",""
"3","BB 210","Englisch - Deutsch. Deutsch - Englisch",""
"3","BB 215","Englisch - sonstige Sprachen. Vice versa",""
"3","BB 220","Neuenglisch. Frühneuenglisch",""
"3","BB 225","Mittelenglisch",""
"3","BB 230","Altenglisch",""
"3","BB 240","Regional- und Sondersprachen, Dialekte, Slang",""
"3","BB 250","Etymologische Wörterbücher",""
"3","BB 255","Idiomatische Wörterbücher. (Thesauri. Synonymen-Wörterbücher)",""
"3","BB 260","Aussprachewörterbücher",""
"3","BB 265","Rückläufige Wörterbücher",""
"3","BB 270","Fachsprachliche Wörterbücher",""
"2","BB 300","Französisch",""
"3","BB 310","Französisch - Deutsch. Deutsch - Französisch",""
"3","BB 315","Französisch - sonstige Sprachen. Vice versa",""
