level,notation,prefLabel
0,1,"Natural Sciences"
1,1.1,"Mathematics"
1,1.2,"Computer and information sciences"
1,1.3,"Physical sciences"
1,1.4,"Chemical sciences"
1,1.5,"Earth and related environmental sciences"
1,1.6,"Biological sciences"
1,1.7,"Other natural sciences"
0,2,"Engineering and Technology"
1,2.1,"Civil engineering"
1,2.2,"Electrical engineering, electronic engineering, information engineering"
1,2.3,"Mechanical engineering"
1,2.4,"Chemical engineering"
1,2.5,"Materials engineering"
1,2.6,"Medical engineering"
1,2.7,"Environmental engineering"
1,2.8,"Environmental biotechnology"
1,2.9,"Industrial Biotechnology"
1,2.10,"Nano-technology"
1,2.11,"Other engineering and technologies"
0,3,"Medical and Health Sciences"
1,3.1,"Basic medicine"
1,3.2,"Clinical medicine"
1,3.3,"Health sciences"
1,3.4,"Health biotechnology"
1,3.5,"Other medical sciences"
0,4,"Agricultural Sciences"
1,4.1,"Agriculture, forestry, and fisheries"
1,4.2,"Animal and dairy science"
1,4.3,"Veterinary science"
1,4.4,"Agricultural biotechnology"
1,4.5,"Other agricultural sciences "
0,5,"Social Sciences"
1,5.1,"Psychology"
1,5.2,"Economics and business"
1,5.3,"Educational sciences"
1,5.3,"Sociology"
1,5.5,"Law"
1,5.6,"Political Science"
1,5.7,"Social and economic geography"
1,5.8,"Media and communications"
1,5.7,"Other social sciences "
0,6,"Humanities"
1,6.1,"History and archaeology"
1,6.2,"Languages and literature"
1,6.3,"Philosophy, ethics and religion"
1,6.4,"Art (arts, history of arts, performing arts, music)"
1,6.5,"Other humanities"
