level,notation,prefLabel
1,01,"Geisteswissenschaften"
2,010,"Geisteswissenschaften allgemein"
3,0100,"Geisteswissenschaften allgemein"
3,0120,"Interdisziplinäre Studien (Schwerpunkt Sprach- und Kulturwissenschaften)"
3,0130,"Medienwissenschaft"
2,020,"Evangelische Theologie"
3,0200,"Evang. Theologie allgemein"
3,0210,"Altes Testament (ev.)"
3,0215,"Diakoniewissenschaft"
3,0220,"Neues Testament (ev.)"
3,0230,"Historische Theologie (ev.)"
3,0240,"Systematische Theologie (ev.)"
3,0250,"Praktische Theologie und Religionspädagogik (ev.)"
3,0260,"Religionsgeschichte und Missionswissenschaft (ev.)"
2,030,"Katholische Theologie"
3,0300,"Kath. Theologie allgemein"
3,0310,"Biblische Theologie (kath.)"
3,0315,"Caritaswissenschaft"
3,0320,"Historische Theologie (kath.)"
3,0330,"Systematische Theologie (kath.)"
3,0340,"Praktische Theologie und Religionspädagogik (kath.)"
3,0350,"Kanonistik (kath.)"
3,0390,"Altkatholische Theologie"
2,040,"Philosophie"
3,0400,"Philosophie allgemein"
3,0410,"Religionswissenschaft"
3,0420,"Didaktik der Philosophie/Ethik"
3,0425,"Geschichte der Philosophie"
3,0426,"Logik"
3,0430,"Wissenschaftsforschung/-lehre"
2,050,"Geschichte"
3,0500,"Geschichte allgemein"
3,0510,"Ur- und Frühgeschichte"
3,0520,"Alte Geschichte"
3,0530,"Mittelalterliche Geschichte"
3,0540,"Neuere und neueste Geschichte"
3,0550,"Länder-, Landesgeschichte"
3,0560,"Wirtschafts- und Sozialgeschichte"
3,0570,"Archäologie"
3,0580,"Didaktik der Geschichte"
3,0585,"Kultur- und Geistesgeschichte"
3,0590,"Technikgeschichte"
2,070,"Bibliothekswissenschaft, Dokumentation"
3,0700,"Bibliothekswissenschaft, Dokumentation allgemein"
3,0710,"Bibliothekswissenschaft/-wesen (nicht für Verwaltungs-FH)"
3,0720,"Dokumentationswissenschaft"
2,080,"Allgemeine und vergleichende Literatur- und Sprachwissenschaft"
3,0800,"Allgemeine und vergleichende Literatur- und Sprachwissenschaft allgemein"
3,0810,"Allgemeine und vergleichende Sprachwissenschaft"
3,0820,"Allgemeine und vergleichende Literaturwissenschaft"
3,0830,"Angewandte Sprachwissenschaft, berufsbezogene Fremdsprachenausbildung"
3,0835,"Computerlinguistik"
3,0840,"Fremdsprachenausbildung (für Hörer aller Fakultäten)"
3,0845,"Indogermanistik"
2,090,"Altphilologie (klassische Philologie)"
3,0900,"Altphilologie allgemein"
3,0910,"Griechische Philologie"
3,0920,"Lateinische Philologie"
3,0930,"Byzantinistik"
3,0940,"Neugriechisch"
3,0950,"Papyrologie"
3,0960,"Didaktik der Altphilologie"
2,100,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)"
3,1000,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik) allgemein"
3,1020,"Skandinavistik"
3,1030,"Niederlandistik"
3,1040,"Deutsch als Fremdsprache oder als Zweitsprache"
