level,notation,prefLabel
0,1000,Généralités
1,1001-1002,"Mélanges jubilaires, ouvrages collectifs"
1,1010,La Littérature française des origines à nos jours
1,1020,Culture et civilisation françaises
2,1021,Langue française
1,1030,Ouvrages de références
2,1033,Formes spécifiques
3,1033 c,Bibliographies des thèses
3,1033 e,Bibliographies littéraires
3,1033 g,Catalogues
3,1033 i,Dictionnaires littéraires
1,1050,La République des lettres françaises
2,1051,Enseignement de la littérature française
2,1052,Prix littéraires ; Salon littéraire
3,1052 c,Prix Goncourt
3,1052 d,Prix Goncourt des lycéens
3,1052 a,Prix littéraires
3,1052 s,Salon littéraire
2,1053,"Académies, Sociétés littéraires etc."
3,1053 a,Académie Française
3,1053 g,Académie Goncourt
3,1053 p,La Pléiade
3,1053 s,Société d'Histoire Littéraire de la France (SHLF)
3,1053 u,École Normale
2,1054,Histoire et enseignement de la discipline / Littérature française dans le monde 
3,1054 ac,Afrique
3,1054 af,Afrique du Sud
3,1054 al,Allemagne
3,1054 am,Amérique (États-Unis)
3,1054 an,Angleterre
3,1054 au,Australie
3,1054 av,Autriche
3,1054 be,Belgique (Flandre)
3,1054 ca,Canada
3,1054 cb,Canada anglophone
3,1054 cc,Canada français
3,1054 da,Danemark
3,1054 es,Espagne
3,1054 fi,Finlande
3,1054 ho,Hongrie
3,1054 in,Inde
3,1054 ir,Irlande
3,1054 it,Italie
3,1054 ja,Japon
3,1054 jo,Jordanie
3,1054 me,Mexique
3,1054 no,Norvège
3,1054 nu,Nouvelle-Zélande
3,1054 pa,Pays-Bas (Hollande)
3,1054 pl,Pologne
3,1054 po,Portugal
3,1054 pr,Proche Orient
3,1054 ro,Roumanie
3,1054 ru,Russie
3,1054 rt,Répubique Tchèque
3,1054 sc,Scandinavie
3,1054 si,Suisse
3,1054 su,Suède
3,1054 th,Thaïlande
2,1055,Romanistes ; Chercheurs
1,1070,"Revues littéraires, Presse"
2,1077,Revues spécifiques
3,1077 an,"Annales, Histoire, Sciences Sociales"
3,1077 at,"Atelier du roman, L'"
3,1077 au,Australian Journal of French Studies
3,1077 be,Beiträge zur romanischen Philologie
3,1077 br,Bérénice
3,1077 cb,Cahiers de Civilisation Médiévale
3,1077 cd,Cahiers de la Quinzaine
3,1077 ch,Cahiers de littérature française
3,1077 ck,Cahiers du Sud
3,1077 cm,Caliban
3,1077 co,"Cerf-Volant, Le"
3,1077 cp,Chemins
3,1077 cr,Critique
3,1077 di,Dix-huitième Siècle
3,1077 do,Dokumente
3,1077 el,Elseneur
3,1077 en,"Ephémère, L'"
3,1077 ep,Esprit
3,1077 er,Essays in French Literature and Culture
3,1077 eu,Europe
3,1077 fg,Figaro
3,1077 fi,Francofonia
3,1077 fk,Frankreich-Jahrbuch
3,1077 fm,Französisch heute
3,1077 fo,Français Aujourd'hui
3,1077 fq,French Literature Series
3,1077 fr,"French Review, The"
3,1077 fu,French Studies
3,1077 fw,French Studies Bulletin
3,1077 fy,French Studies in Southern Africa
3,1077 ge,Germanisch-Romanische Monatsschrift
3,1077 hi,Histoires littéraires
3,1077 hu,Humanité
3,1077 in,"Infini, L'"
3,1077 jc,Journal des Savants
3,1077 je,Journal of the Institute of Romance Studies
3,1077 le,Lendemains
3,1077 ge,Lettres Romanes
3,1077 lh,"Lettres françaises, Les"
3,1077 li,Lire
3,1077 ma,Magasin encyclopédique
3,1077 mc,"Magazine littéraire, Le"
3,1077 me,Marginales
3,1077 mg,"Matricule des anges, Le"
3,1077 mi,Medioevo romanzo
3,1077 mk,Mercure de France
3,1077 mm,Messages
3,1077 mo,"Monde, Le"
3,1077 ne,Nord'
3,1077 nh,Notre Librairie
3,1077 nk,"Nouveau Magazine littéraire, Le"
3,1077 nn,"Nouveau Recueil, Le"
3,1077 nq,"Nouvelle Revue Française, La"
3,1077 nt,"Nouvelle Tour de Feu, La"
3,1077 pb,Papers on French Seventeenth Century Literature
3,1077 pd,Papilles (revue)
3,1077 pl,Pleine Marge
3,1077 po,Po&sie
3,1077 pt,Poétique
3,1077 qb,Quaderni di Filologia romanza
3,1077 qi ,Quinzaine littéraire
3,1077 rb,RBL (La Revue de Belles-Lettres)
3,1077 ra,Rapports-Het Franse Boek
3,1077 re,Renaissance and Reformation = Renaissance et Réforme
3,1077 rg,Revue Textuel
3,1077 rh,Revue d'Histoire littéraire de la France
3,1077 ri ,Revue de linguistique romane
3,1077 rj,Revue de littérature comparée (RLC)
3,1077 rk,Revue des Deux Mondes
3,1077 rl,Revue des Langues Romanes
3,1077 rm,Revue générale
3,1077 rn,"Revue littéraire, La"
3,1077 ro,Riveneuve Continents
3,1077 rp,"Rocambole, Le"
3,1077 rq,Romance Philology
3,1077 rt,Romance Studies
3,1077 ru,Romania
3,1077 rv,Romanic Review
3,1077 rw,Romanica Wratislaviensia
3,1077 rx,Romanische Forschungen
3,1077 ry,Romanistische Zeitschrift für Literaturgeschichte
3,1077 rz,Romantisme
3,1077 rc,"Règle du jeu, La"
3,1077 sf,Studi Francesi
3,1077 su,Sud
3,1077 tb,Tangence
3,1077 te,Temps Modernes
3,1077 th,Théodore Balmoral
3,1077 to,Tour de Feu
3,1077 tr,Travaux de littérature
3,1077 ul,"Ull crític, L'"
3,1077 vo,Vox Romanica
3,1077 xv,XVII% Siècle
3,1077 ya,Yale French Studies
3,1077 ze,Zeitschrift für romanische Philologie
3,1077 ec,"Écrits, Les"
3,1077 ed,Écriture
3,1077 et,Études françaises
1,1090,L'Écrivain
2,1091-1099,Aspects divers
3,1091,"Écrire, écriture"
3,1092 b,Atelier d'écriture
3,1092 d,Contrainte 
3,1092 f,Écriture féminine
3,1093 c,Continuation
3,1093 d,Dédicace autographe
3,1093 g,Groupe
3,1093 i,Interpolation
3,1093 l,Plagiat
3,1093 p,Plurilinguisme
3,1093 r,Recomposition
3,1093 t,Réécriture
3,1093 u,"Réécriture, Palimpseste"
3,1094 d,OEuvre
3,1094 h,Pseudonyme
3,1094 k,Écrivains juifs
3,1097 m,Maisons d'écrivain
1,1110,La Création littéraire
2,1111,"Genèse du texte, Critique génétique"
1,1130-1139,Le Livre et les bibliothèques
2,1130,Géneralités
2,1131,"Lecteur, lectrice ; Lecture"
2,1133 a,Archive
2,1133 b,Bibliothèque Nationale
2,1133 d,Bibliothèque nationale et universitaire de Strasbourg (BNU)
2,1133 h,Collection
2,1134 a,Annotation
2,1134 i,Illustration
2,1135,Imprimerie
1,1150-1159,"Édition, Éditeurs et Libraires"
2,1150,Généralités
2,1152,Censure
2,1153,Collection
3,1153 q,Albums de la Pléiade (Collection)
3,1153 b,Bouquins (Collection)
3,1153 e,Écrivains de toujours (Collection)
3,1153 p,"Pléiade, Bibliothèque de la"
2,1155,Éditeurs et Libraires
1,1170-1179,Critique et méthodes
2,1170,Géneralités
2,1171,Philologie
2,1172,Histoire littéraire
2,1173,Périodisation
2,1174,Terminologie et théorie littéraire
2,1175 b,Réception de la littérature
2,1175 d,Société et littérature
2,1175 k,Usage de la littérature
2,1176 b,Bibliothérapie
2,1176 e,Esthétique
2,1177,Interprétation et analyse des textes
2,1178,Informatique
2,1179,Groupe et Revue «Tel Quel
1,1190,"Théorie du texte, Textologie"
2,1191-1198,Aspects divers 
3,1191 b,Chapitre
3,1191 c,Citation
3,1191 d,Discontinuité
3,1191 f,Formule
3,1191 r,Référence
