level,notation,prefLabel,scopeNote,note
0,A,GENERAL WORKS,,
1,AC1-999,Collections. Series. Collected works,,
2,AC1-195,"Collections of monographs, essays, etc.",,
3,AC1-8,American and English,,
3,AC9-195,Other languages,,
2,AC200,Collections for Jewish readers,,
2,AC801-895,Inaugural and program dissertations,,
2,AC901-995,Pamphlet collections,,
2,AC999,Scrapbooks,,
1,AE1-(90),Encyclopedias,,
2,AE5-(90),By language,,
1,AG2-600,Dictionaries and other general reference works,,
1,AI1-21,Indexes,,
1,AM1-(501),Museums. Collectors and collecting,,
2,AM10-100,By country,,
2,AM111-160,"Museology. Museum methods, technique, etc.",,
2,AM200-(501),Collectors and collecting,,
1,AN,Newspapers,,
1,AP1-(271),Periodicals,,
2,AP101-115,Humorous periodicals,,
2,AP200-230,Juvenile periodicals,,
2,AP(250)-(265),Periodicals for women,,
2,AP(270)-(271),Periodicals for Blacks,,
1,AS1-945,Academies and learned societies,,
2,AS2.5-4,"International associations, congresses, conferences, etc.",,
2,AS11-785,By region or country,,
1,AY10-2001,Yearbooks. Almanacs. Directories,,
2,AY10-29,Annuals,,
2,AY30-1730,Almanacs,,
2,AY2001,Directories,,Class directories by subject in B-Z
1,AZ(20)-999,History of scholarship and learning. The humanities,,
2,AZ101-(181),Philosophy. Theory,,
2,AZ191-193,Evaluation,,
2,AZ200-361,History,,
2,AZ501-908,By region or country,,
0,B,PHILOSOPHY. PSYCHOLOGY. RELIGION,,
1,B1-5802,Philosophy (General),,
2,B69-99,General works,,
2,B108-5802,By period,Including individual philosophers and schools of philosophy,
3,B108-708,Ancient,,
3,B720-765,Medieval,,
3,B770-785,Renaissance,,
3,B790-5802,Modern,,
4,B808-849,Special topics and schools of philosophy,,
4,B850-5739,By region or country,,
4,B5800-5802,By religion,,
1,BC1-199,Logic,,
2,BC11-39,History,,
3,BC25-39,By period,,
2,BC60-99,General works,,
2,BC171-199,Special topics,,
1,BD10-701,Speculative philosophy,,
2,BD10-41,General philosophical works,,
2,BD95-131,Metaphysics,,
2,BD143-237,Epistemology. Theory of knowledge,,
2,BD240-260,Methodology,,
2,BD300-450,Ontology,"Including being, the soul, life, death",
2,BD493-701,Cosmology,"Including teleology, space and time, structure of matter, plurality of worlds",
1,BF1-990,Psychology,,
2,BF38-64,Philosophy. Relation to other topics,,
2,BF173-175.5,Psychoanalysis,,
2,BF176-176.5,Psychological tests and testing,,
2,BF180-198.7,Experimental psychology,,
2,BF203,Gestalt psychology,,
2,BF207-209,Psychotropic drugs and other substances,,
2,BF231-299,Sensation. Aesthesiology,,
2,BF309-499,Consciousness. Cognition,"Including learning, attention, comprehension, memory, imagination, genius, intelligence, thought and thinking, psycholinguistics, mental fatigue",
2,BF501-505,Motivation,,
2,BF511-593,Affection. Feeling. Emotion,,
2,BF608-635,Will. Volition. Choice. Control,,
2,BF636-637,Applied psychology,,
2,BF638-648,"New Thought. Menticulture, etc.",,
2,BF660-685,Comparative psychology. Animal and human psychology,,
2,BF692-692.5,Psychology of sex. Sexual behavior,,
2,BF697-697.5,Differential psychology. Individuality. Self,,
2,BF698-698.9,Personality,,
2,BF699-711,Genetic psychology,,
2,BF712-724.85,Developmental psychology,"Including infant psychology, child psychology, adolescence, adulthood",
2,BF725-727,Class psychology,,
2,BF795-839,Temperament. Character,,
2,BF839.8-885,Physiognomy. Phrenology,,
2,BF889-905,Graphology. Study of handwriting,,
2,BF908-940,The hand. Palmistry,,
1,BF1001-1389,Parapsychology,,
2,BF1001-1045,Psychic research. Psychology of the conscious,,
2,BF1048-1108,Hallucinations. Sleep. Dreaming. Visions,,
2,BF1111-1156,Hypnotism. Suggestion. Mesmerism. Subliminal projection,,
2,BF1161-1171,Telepathy. Mind reading. Thought transference,,
2,BF1228-1389,Spiritualism,"Including mediumship, spirit messages, clairvoyance",
1,BF1404-2055,Occult sciences,,
2,BF1444-1486,Ghosts. Apparitions. Hauntings,,
2,BF1501-1562,Demonology. Satanism. Possession,,
2,BF1562.5-1584,Witchcraft,,
2,BF1585-1623,Magic. Hermetics. Necromancy,,
2,BF1651-1729,Astrology,,
2,BF1745-1779,Oracles. Sibyls. Divinations,,
2,BF1783-1815,Seers. Prophets. Prophecies,,
2,BF1845-1891,Fortune-telling,,
2,BF2050-2055,Human-alien encounters. Contact between humans and extraterrestrials,,
1,BH1-301,Aesthetics,,
2,BH81-208,History,,
2,BH301,Special topics,,
1,BJ1-1725,Ethics,,
2,BJ71-1185,History and general works,Including individual ethical philosophers,
2,BJ1188-1295,Religious ethics,,
2,BJ1298-1335,Evolutionary and genetic ethics,,
2,BJ1365-1385,Positivist ethics,,
2,BJ1388,Socialist ethics,,
2,BJ1390-1390.5,Communist ethics,,
2,BJ1392,Totalitarian ethics,,
2,BJ1395,Feminist ethics,,
2,BJ1518-1697,Individual ethics. Character. Virtue,"Including practical and applied ethics, conduct of life, vices, success, ethics for children",
2,BJ1725,"Ethics of social groups, classes, etc. Professional ethics",,
1,BJ1801-2195,Social usages. Etiquette,,
2,BJ2021-2078,Etiquette of entertaining,,
2,BJ2139-2156,Etiquette of travel,,
2,BJ2195,Telephone etiquette,,
1,BL1-2790,Religions. Mythology. Rationalism,,
2,BL1-50,Religion (General),,
2,BL51-65,Philosophy of religion. Psychology of religion. Religion in relation to other subjects,,
2,BL70-71,Sacred books (General),,
2,BL71.5-73,Biography,,
2,BL74-99,Religions of the world,,
2,BL175-265,Natural theology,,
3,BL175-190,General,,
3,BL200,Theism,,
3,BL205-216,Nature and attributes of Deity,,
3,BL217,Polytheism,,
3,BL218,Dualism,,
3,BL220,Pantheism,,
3,BL221,Monotheism,,
3,BL224-227,Creation. Theory of the earth,,
3,BL239-265,Religion and science,,
2,BL270,Unity and plurality,,
2,BL290,The soul,,
2,BL300-325,The myth. Comparative mythology,,
2,BL350-385,Classification of religions,,
2,BL410,Religions in relation to one another,,
2,BL425-490,Religious doctrines (General),,
3,BL430,Origins of religion,,
3,BL435-457,Nature worship,,
3,BL458,Women in comparative religion,,
3,BL460,Sex worship. Phallicism,,
3,BL465-470,Worship of human beings,,
3,BL473-490,Other,,
2,BL500-547,Eschatology,,
2,BL550-619,Worship. Cultus,,
2,BL624-629.5,Religious life,,
2,BL630-(632.5),Religious organization,,
2,BL660-2680,History and principles of religions,,
3,BL660,Indo-European. Aryan,,
3,BL685,Ural-Altaic,,
3,BL687,Mediterranean region,,
3,BL689-980,European. Occidental,,
4,BL700-820,"Classical (Etruscan, Greek, Roman)",,
4,BL830-875,Germanic and Norse,,
4,BL900-980,Other European,,
3,BL1000-2370,Asian. Oriental,,
4,BL1000-1035,General,,
4,BL1050,Northern and Central Asia,,
4,BL1055,Southern and Eastern Asia,,
4,BL1060,Southwestern Asia. Asia Minor. Levant,,
4,BL1100-1295,Hinduism,,
5,BL1100-1107.5,General,,
5,BL1108.2-1108.7,Religious education,,
5,BL1109.2-1109.7,Antiquities. Archaeology. Inscriptions,,
5,BL1111-1143.2,Sacred books. Sources,,
6,BL1112.2-1137.5,Vedic texts,,
6,BL1140.2-1140.4,Pur~nas,,
6,BL1141.2-1142.6,Tantric texts,,
5,BL1145-1146,Hindu literature,,
5,BL1153.7-1168,By region or country,,
5,BL1212.32-1215,Doctrines. Theology,,
5,BL1216-1225,Hindu pantheon. Deities,,
5,BL1225.2-1243.58,Religious life,,
5,BL1243.72-1243.78,"Monasteries. Temples, etc.",,
5,BL1271.2-1295,Modifications. Sects,,
6,BL1284.5-1289.592,Vaishnavism,,
4,BL1300-1380,Jainism,,
5,BL1310-1314.2,Sacred books. Sources,,
5,BL1315-1317,Jain literature,,
5,BL1375.3-1375.7,Jaina pantheon. Deities,,
5,BL1376-1378.85,Forms of worship,,
5,BL1379-1380,"Modifications, etc.",,
4,BL1500-1590,Zoroastrianism (Mazdeism). Parseeism,,
4,BL1595,Yezidis,,
4,BL1600-1695,Semitic religions,,
5,BL1600-1605,General,,
5,BL1610,Aramean,,
5,BL1615-1616,Sumerian,,
5,BL1620-1625,Assyro-Babylonian,,
5,BL1630,Chaldean,,
5,BL1635,Harranian. Pseudo-Sabian,,
5,BL1640-1645,Syrian. Palestinian. Samaritan,,
5,BL1650,Hebrew,,"For Judaism, see subclass BM"
5,BL1660-1665,"Phoenician. Carthaginian, etc.",,
5,BL1670-1672,Canaanite,,
5,BL1675,Moabite. Philistine,,
5,BL1680-1685,Arabian (except Islam),,
5,BL1695,Druses,,
4,BL1710,Ethiopian,,
4,BL1750-2350,By region or country,,
5,BL1790-1975,China,,
