level,notation,prefLabel
0,1.,Allgemeines
1,1.1.,Bibliographien
1,1.2.,Zeitschriften
1,1.3.,Zeitungen
2,1.3.1.,Tageszeitungen
2,1.3.2.,Wochenzeitungen
2,1.3.3.,Amtsblätter
1,1.4.,Jahrbücher
1,1.5.,Kalender
1,1.6.,"Adressbücher. Ortsverzeichnisse"
1,1.7.,Statistik
0,2.,Landeskunde
1,2.1.,Allgemeine Darstellungen
2,2.1.1.,Allgemeine Landesbeschreibung
2,2.1.2.,"Reiseberichte. Literarische Darstellungen"
2,2.1.3.,Reiseführer
2,2.1.4.,Bildliche Darstellungen
2,2.1.5.,Audio-visuelle Materialien
1,2.2.,Ostseeküste
2,2.2.1.,Mecklenburgische Küste
3,2.2.1.1.,Nordwestmecklenburgische Küste
3,2.2.1.2.,Insel Poel und Wismarer Bucht
3,2.2.1.3.,Warnowküste
2,2.2.2.,Vorpommersche Küste mit Hinterland
3,2.2.2.1.,"Fischland. Darß. Zingst"
3,2.2.2.2.,Insel Rügen
3,2.2.2.3.,Nordvorpommersche Sundküste mit Hinterland
3,2.2.2.4.,Ostvorpommersche Boddenküste mit Hinterland
3,2.2.2.5.,Insel Usedom
3,2.2.2.6.,Haffküste mit Hinterland
1,2.3.,Binnenland
2,2.3.1.,Westmecklenburgisches Binnenland
3,2.3.1.1.,Westmecklenburgisches Seen- und Hügelland
3,2.3.1.2.,Schweriner Seenlandschaft
3,2.3.1.3.,Warnow-Seenland
3,2.3.1.4.,Südwestmecklenburg
3,2.3.1.5.,Südmecklenburgisches Hügelland
2,2.3.2.,Ostmecklenburgisches Binnenland
3,2.3.2.1.,Mecklenburgische Schweiz
3,2.3.2.2.,Tollensebecken
3,2.3.2.3.,Feldberg-Woldegker Seen- und Hügelland
3,2.3.2.4.,Mecklenburgische Großseenplatte
3,2.3.2.5.,Strelitzer Kleinseenplatte
0,3.,Natur
1,3.1.,Allgemeines
2,3.1.1.,Bibliographien
2,3.1.2.,Zeitschriften
2,3.1.4.,Jahrbücher
2,3.1.5.,Kalender
2,3.1.8.,"Einrichtungen. Sammlungen. Vereine"
2,3.1.9.,Naturwissenschaftler
1,3.2.,Allgemeine Darstellungen
1,3.3.,Geowissenschaften
2,3.3.1.,"Geodäsie.  Kartographie"
3,3.3.1.1.,Allgemeines
4,3.3.1.1.1.,Bibliographie
4,3.3.1.1.2.,Zeitschriften
4,3.3.1.1.4.,Jahrbücher
4,3.3.1.1.8.,"Einrichtungen. Sammlungen. Vereine"
4,3.3.1.1.9.,"Kartographen. Vermessungsingenieure"
3,3.3.1.2.,Allgemeine Darstellungen
3,3.3.1.3.,Geschichte der Kartographie
3,3.3.1.4.,Geodäsie
3,3.3.1.5.,Karten
4,3.3.1.5.1.,Historische Karten
4,3.3.1.5.2.,Topographische Karten
4,3.3.1.5.3.,Straßenkarten
4,3.3.1.5.4.,Wanderkarten
4,3.3.1.5.5.,Thematische Karten
