level,notation,prefLabel,scopeNote
0,01.00,Algemene werken: algemeen,"Toelichting: in deze hoofdrubriek uitsluitend werken van algemene aard; Verwijzing: voor algemene werken van afzonderlijke vakgebieden, zie de betreffende vakgebieden"
1,01.10,Bibliografieën: algemeen,"Toelichting: beschouwingen over en inleiding tot de bibliografie; Verwijzing: voor bibliotheekcatalogi, zie: 06.80 (documentaire informatie; bibliotheekcatalogi)"
2,01.11,"Algemene bibliografieën, wereldbibliografieën",Hierbij: bibliografieën van bibliografieën
2,01.14,"Nationale bibliografieën, regionale bibliografieën","Hierbij: bibliotheekcatalogi met een bibliografisch karakter, lokale en regionale bibliografieën van publicaties verschenen in een plaats of een regio"
2,01.18,Bibliografieën van werken met een bijzonder karakter,"Toelichting: bibliografieën van feestbundels, pseudoniemen en dergelijke m.a.w. hier alleen bibliografieën voor die werken die geen eigen BC-code als zodanig hebben"
2,01.19,Bibliografieën: overige,
1,01.20,Algemene naslagwerken: algemeen,Toelichting: beschouwingen over en inleidingen tot woordenboeken en encyclopedieën
2,01.21,Algemene woordenboeken,"Toelichting: encyclopedische, d.w.z. beschrijvende én verklarende woordenboeken"
2,01.22,Algemene encyclopedieën,
2,01.24,Algemene adresboeken,
2,01.29,Algemene naslagwerken: overige,
1,01.30,"Biografie, biografische woordenboeken: algemeen","Toelichting: beschouwingen over en inleidingen tot de (auto)biografie; Verwijzing: voor studies over leven en/of werk van afzonderlijke personen, zie de betreffende vakgebieden"
2,01.31,Algemene biografische woordenboeken,
2,01.32,Nationale biografische woordenboeken,
2,01.39,"Biografie, biografische woordenboeken: overige",
1,01.40,Algemene bronnenverzamelingen: algemeen,Hierbij: algemene overheidspublicaties; Toelichting: deze en volgende rubrieken worden alleen gebruikt voor uitgaven die niet op onderwerp ingedeeld kunnen worden
2,01.41,"Periodieke uitgaven, tijdschriften, weekbladen","Hierbij: kranten en tijdschriften zelf; Verwijzing: voor beschouwingen over en inleidingen tot periodieke uitgaven, tijdschriften en weekbladen, zie: 05.33 (communicatiewetenschap; journalistiek)"
2,01.42,Dagbladen,
2,01.49,Algemene bronnenverzamelingen: overige,"Hierbij: almanakken, jaarboeken, jaarverslagen"
1,01.50,Algemene reeksen,
1,01.60,Verzamelwerken,"Toelichting: verzamelwerken van één of meerdere niet-vakgebonden auteurs, thematisch verzamelwerk, feestbundels en gedenkbundels (niet vakgebonden) en dergelijke"
1,01.99,Algemene werken: overige,
0,02.00,Wetenschap en cultuur in het algemeen,
1,02.01,Geschiedenis van wetenschap en cultuur,Hierbij: intellectuele geschiedenis
1,02.02,Filosofie en theorie der wetenschap,"Is: 08.35 (filosofie; wetenschapsfilosofie); Hierbij: wetenschapsfilosofie, algemene semiotiek; Verwijzing: voor de semiotiek van afzonderlijke wetenschapsgebieden, zie de betreffende vakgebieden"
1,02.10,Wetenschap en samenleving,
1,02.11,Wetenschapssociologie,
1,02.12,Kennissociologie,
1,02.13,Wetenschapsbeoefening,Hierbij: normalisatie; Toelichting: methoden en technieken van wetenschappelijk onderzoek
1,02.14,Organisatie van wetenschap en cultuur,"Hierbij: organisaties en instellingen, academies van wetenschappen, algemene musea, wereldtentoonstellingen; Verwijzing: voor organisaties of instellingen die zich met afzonderlijke vakgebieden bezighouden, zie de betreffende vakgebieden"
