sachschl;name_1;name_2
1;Bibliographien;
1a;Laufende Literaturberichte;
2;Zeitschriften;
2a;Zeitungen (Amtsblätter, Gesetzesblätter, Verordnungsblätter);
2b;Minderwichtige Zeitschriften;
3;Kalender, Almanache;
4;Lexika, Sachwörterbücher (Terminologische Wörterbücher mit Erläuterungen);
4a;Sprachwörterbücher, einsprachig/zweisprachig/polyglott;
4b;Terminologische Wörterbücher, Fachsprachenwörterbücher;
4c;Personallexika;
4d;Indices, Konkordanzen, Wörterbücher zu Autoren und anonymen Werken;
4e;Sonstige Wörterbücher;
5;Adreßbücher, Register;
5a;Ortsnamenverzeichnis;
6;Tabellen, Tafeln;
7;Formulare, Formularbücher;
8;Hilfswissenschaften, Nebengebiete;
9;Sammelwerke;Serien
10;Sammelwerke;Abhandlungen mehrerer Verfasser
11;Sammelwerke;Gesammelte Abhandlungen eines Verfassers
13;Beruf, Amt, Stand, Funktion;
15;Tagungsliteratur;Tagungsberichte, Konferenzberichte
15a;Tagungsliteratur;Konferenzprogramme, Konferenzankündigungen
16;Wettbewerbe, Preise;
17;Organisationsformen;Organisationsformen (Allgemein oder falls im Foglenden nicht genannt)
18;Organisationsformen;Betriebe
19;Organisationsformen;Forschungsinstitutionen, Ausbildungsinstitutionen
20;Organisationsformen;Museen, Gedenkstätten
21;Organisationsformen;Archive, Bibliotheken
22;Organisationsformen;Ausstellungen
22a;Organisationsformen;Auktionen
23;Organisationsformen;Kataloge
24;Methodik u. Geschichte der Wissenschaft;Methodik, Einführung in die Methoden des Fachs
25;Methodik u. Geschichte der Wissenschaft;Geschichte der Wissenschaft
25a;Methodik u. Geschichte der Wissenschaft;Einzelne Wissenschaftler
26;Methodik u. Geschichte der Wissenschaft;Stand der Wissenschaft (Fortschrittsberichte), Vorausschau
27;Quellen (auch: ältere Literatur des Fachs);Quellenverzeichnisse (periodisch/abgeschlossene)
28;Quellen (auch: ältere Literatur des Fachs);Quellenkunde
29;Quellen (auch: ältere Literatur des Fachs);Quellensammlungen, allgemein
30;Quellen (auch: ältere Literatur des Fachs);Einzelne Quellen zum Fach
30a;Quellen (auch: ältere Literatur des Fachs);Kritik einzelner Quellen
31;Quellen (auch: ältere Literatur des Fachs);Regional eingebundene Quellen
31a;Quellen (auch: ältere Literatur des Fachs);Ethnisch gebundene Quellen
32;Quellen (auch: ältere Literatur des Fachs);Sachgebundene Quellen
