level,notation,prefLabel
0,All,"Allgemeines"
1,All A,"Allgemeines Schrifttum (allg. Zeitschriften, Zeitungen, Enzyklopädien usw.)"
1,All B,"Bibliographienwesen, Allgemeinbibliographien"
2,All B 200,"Biographienwesen, Allgemeinbiographien"
1,All E,"Wissenschaftskunde"
2,All E 100,"Hermeneutik"
0,Bib,"Bibliothekswesen"
1,Bib A,"Allgemeines, Wissenschaftliche Bibliotheken"
2,Bib A 100,"Bibliotheksverwaltung"
2,Bib A 200,"Katalogwesen"
1,Bib B,"Öffentliche Bibliothek, Volksbüchereiwesen"
1,Bib D,"Dokumentation, Information"
0,Bio,"Biologie"
1,Bio A,"Allgemeines"
2,Bio A 100,"Morphologie"
2,Bio A 200,"Zytologie, Histologie"
2,Bio A 300,"Physiologie"
2,Bio A 400,"Genetik"
2,Bio A 500,"Entwicklungsphysiologie, Embryologie"
2,Bio A 600,"Abstammungslehre"
2,Bio A 700,"Ökologie"
2,Bio A 800,"Biogeographie"
2,Bio A 900,"Biosoziologie"
2,Bio A 1100,"Ethologie"
1,Bio B,"Mikrobiologie"
2,Bio B 2200,"Bakterien"
2,Bio B 2400,"Viren"
2,Bio B 2800,"Protisten"
1,Bio C,"Botanik"
2,Bio C 100,"Morphologie"
2,Bio C 200,"Zytologie, Histologie"
2,Bio C 300,"Physiologie"
2,Bio C 400,"Genetik"
2,Bio C 500,"Entwicklungsphysiologie, Embryologie"
2,Bio C 600,"Abstammungslehre"
2,Bio C 700,"Ökologie"
2,Bio C 800,"Geographie"
2,Bio C 900,"Soziologie"
2,Bio C 1000,"Phaenologie"
2,Bio C 2200,"Kryptogamen/ Sporenpflanzen"
2,Bio C 2400,"Phanerogamen/Samenpflanzen"
1,Bio D,"Zoologie"
2,Bio D 100,"Morphologie"
2,Bio D 200,"Zytologie, Histologie"
2,Bio D 300,"Physiologie"
2,Bio D 400,"Genetik"
2,Bio D 500,"Entwicklungsphysiologie, Embryologie"
2,Bio D 600,"Abstammungslehre"
2,Bio D 700,"Ökologie"
2,Bio D 800,"Geographie"
2,Bio D 900,"Soziologie"
2,Bio D 1100,"Ethologie"
2,Bio D 2200,"Coelenterata/Hohltiere"
2,Bio D 2300,"Vermes/Würmer"
2,Bio D 2400,"Arthropoda/Gliederfüssler"
2,Bio D 2500,"Hexapoda/Insekten"
2,Bio D 2600,"Lepidoptera/Schmetterlinge"
2,Bio D 2700,"Coleoptera/Käfer"
2,Bio D 2800,"MolluscaWeichtiere"
2,Bio D 2900,"Echinodermata/Stachelhäuter"
2,Bio D 3000,"Evertebrata/Wirbellose Tiere"
2,Bio D 3100,"Vertebrata/Wirbeltiere"
2,Bio D 3200,"Pisces/Fische"
2,Bio D 3300,"Amphibien u. Reptilien/Lurche u. Kriechtiere"
2,Bio D 3500,"Aves/Vögel"
2,Bio D 3600,"Mammalia/Säugetiere"
1,Bio F,"Hydrobiologie"
2,Bio F 200,"Süsswasserbiologie"
2,Bio F 400,"Meeresbiologie"
1,Bio H,"Anthropologie"
1,Bio J,"Biophysik"
2,Bio J 300,"Strahlenbiologie"
2,Bio J 500,"Elektrobiologie"
2,Bio J 700,"Photobiologie"
1,Bio L,"Naturschutz"
2,Bio L 200,"Pflanzen"
2,Bio L 400,"Tiere"
0,Buc,"Buch und Schrift"
1,Buc A,"Buchwesen, Buchgeschichte"
2,Buc A 100,"Papier"
2,Buc A 200,"Einband, Buchbinderei"
2,Buc A 400,"Inkunabelkunde"
2,Buc A 500,"Bibliophilie, Privatbibliotheken"
2,Buc A 600,"Exlibriskunde"
2,Buc A 800,"Mikroformen"
1,Buc B,"Buchdruck, Buchvertrieb"
2,Buc B 200,"Bilddruck, Illustrationsdruck, Reproduktion"
2,Buc B 400,"Verlagswesen"
2,Buc B 500,"Barsortiment"
2,Buc B 600,"Buchhandel"
2,Buc B 700,"Antiquariat"
2,Buc B 800,"Musikalienhandel"
1,Buc D,"Schriftwesen"
2,Buc D 100,"Kalligraphie"
2,Buc D 200,"Handschriftenkunde"
2,Buc D 300,"Epigraphik"
2,Buc D 500,"Papyruskunde"
2,Buc D 600,"Ostraka"
2,Buc D 700,"Autographenkunde"
2,Buc D 1000,"Stenographie"
2,Buc D 1500,"Blindenschrift"
1,Buc E,"Wortschriften, Silbenschriften"
2,Buc E 100,"Ägyptische Schrift"
2,Buc E 200,"Keilschrift"
2,Buc E 300,"Indusschrift"
2,Buc E 400,"Hethitische Hieroglyphen"
2,Buc E 500,"Kretisch-mykenischer Schriftkreis"
2,Buc E 600,"Persische Keilschrift"
2,Buc E 700,"Chinesische Schrift"
2,Buc E 800,"Japanische Schrift"
1,Buc F,"Buchstabenschriften"
2,Buc F 100,"Altsemitische Buchstabenschriften"
2,Buc F 200,"Hebräische Schrift"
2,Buc F 300,"Arabische Schrift"
2,Buc F 400,"Syrische Schrift"
2,Buc F 700,"Altkleinasiatische Alphabetschriften"
2,Buc F 800,"Griechische Schrift"
2,Buc F 1000,"Koptische Schrift"
2,Buc F 1100,"Etruskische Schrift"
2,Buc F 1200,"Lateinische Schrift"
2,Buc F 1500,"Runenkunde"
2,Buc F 1600,"Kyrillische Schrift"
2,Buc F 1800,"Georgische Schrift"
2,Buc F 1900,"Armenische Schrift"
2,Buc F 2000,"Aramaide innerasiatische Schriftsysteme"
2,Buc F 3000,"Indische Schriften und Ableitungen"
0,Geo,"Geowissenschaften"
1,Geo A,"Allgemeines"
2,Geo A 100,"Geodäsie"
2,Geo A 200,"Kartographie"
2,Geo A 400,"Fernerkundung"
1,Geo B,"Geographie, Länderkunde"
