level,notation,prefLabel@de,prefLabel@en,scopeNote
0,0,"Allgemeines, Informatik, Informationswissenschaft","Generalities, computers, information",
1,000,"Allgemeines, Wissenschaft",Generalities,
1,004,Informatik,Computer science,
1,010,Bibliografien,Bibliography,
1,020,Bibliotheks- und Informationswissenschaft,Library and information sciences,
1,030,Enzyklopädien,Encyclopedic works,
1,050,"Zeitschriften, fortlaufende Sammelwerke","Magazines, journals and serials",
1,060,"Organisationen, Museumswissenschaft",Organizations and museology,
1,070,"Nachrichtenmedien, Journalismus, Verlagswesen","News media, journalism, publishing",
1,080,Allgemeine Sammelwerke,General collections,
1,090,"Handschriften, seltene Bücher",Manuscripts and rare books,
0,1,Philosophie und Psychologie,Philosophy and psychology,
1,100,Philosophie,Philosophy,
1,130,"Parapsychologie, Okkultismus","Parapsychology, occultism",
1,150,Psychologie,Psychology,
0,2,Religion,Religion,
1,200,"Religion, Religionsphilosophie","Religion, philosophy and theory of religion",
1,220,Bibel,Bible,
1,230,"Theologie, Christentum","Theology, Christianity",
1,290,Andere Religionen,Other religions,
0,3,Sozialwissenschaften,Social sciences,
1,300,"Sozialwissenschaften, Soziologie, Anthropologie","Social sciences, sociology, anthropology",
1,310,Allgemeine Statistiken,General statistics,
1,320,Politik,Political science,
1,330,Wirtschaft,Economics,Management in 650
1,333.7,"Natürliche Ressourcen, Energie und Umwelt","Natural resources, energy and environment",
1,340,Recht,Law,"Kriminologie, Strafvollzug in 360"
1,350,Öffentliche Verwaltung,Public administration,
1,355,Militär,Military science,
1,360,"Soziale Probleme, Sozialdienste, Versicherungen","Social problems , social services, insurance",
1,370,"Erziehung, Schul- und Bildungswesen",Education,
1,380,"Handel, Kommunikation, Verkehr","Commerce, communications, transportation",Philatelie in 760
1,390,"Bräuche, Etikette, Folklore","Customs, etiquette, folklore",
0,4,Sprache,Language,
1,400,"Sprache, Linguistik","Language, linguistics",
1,420,Englisch,English,
1,430,Deutsch,German,
1,439,Andere germanische Sprachen,Other Germanic languages,
1,440,"Französisch, romanische Sprachen allgemein","French, Romance languages in general",
1,450,"Italienisch, Rumänisch, Rätoromanisch","Italian, Romanian, Rhaeto-Romanic",
1,460,"Spanisch, Portugiesisch",Spanish and Portuguese languages,
1,470,Latein,Latin,
1,480,Griechisch,Greek,
1,490,Andere Sprachen,Other languages,
1,491.8,Slawische Sprachen,Slavic (Slavonic) languages,
0,5,Naturwissenschaften und Mathematik,Science and mathematics,
1,500,Naturwissenschaften,Science,
1,510,Mathematik,Mathematics,
1,520,"Astronomie, Kartografie","Astronomy, cartography",
1,530,Physik,Physics,
1,540,Chemie,Chemistry,Biochemie in 570
1,550,Geowissenschaften,Earth sciences and geology,"Kartografie, Geodäsie in 520; Kristallografie, Mineralogie in 540"
1,560,Paläontologie,Paleontology,
1,570,"Biowissenschaften, Biologie","Life sciences, biology",
1,580,Pflanzen (Botanik),Plants (botany),
1,590,Tiere (Zoologie),Animals (zoology),
0,6,"Technik, Medizin, angewandte Wissenschaften","Technology, medicine, applied sciences",
1,600,Technik,Technology,
1,610,"Medizin, Gesundheit",Medicine and health,Veterinärmedizin in 630
1,620,Ingenieurwissenschaften und Maschinenbau,Engineering and machine engineering,
1,621.3,"Elektrotechnik, Elektronik","Electrical engineering, electronics",
1,624,Ingenieurbau und Umwelttechnik,Civil engineering and environmental protection engineering,
1,630,"Landwirtschaft, Veterinärmedizin","Agriculture, veterinary medicine",
1,640,Hauswirtschaft und Familienleben,Home and family management,
1,650,Management,Management,
1,660,Technische Chemie,Chemical engineering,
1,670,Industrielle und handwerkliche Fertigung,Manufacturing,
1,690,"Hausbau, Bauhandwerk",Building and construction,
0,7,Künste und Unterhaltung,Arts and recreation,
1,700,"Künste, Bildende Kunst allgemein",Arts,
1,710,"Landschaftsgestaltung, Raumplanung",Landscaping and area planning,
1,720,Architektur,Architecture,
1,730,"Plastik, Numismatik, Keramik, Metallkunst","Plastic arts, numismatics, ceramics, metalwork",
1,740,"Grafik, angewandte Kunst","Graphic arts, decorative arts",
1,741.5,"Comics, Cartoons, Karikaturen","Comics, cartoons, caricatures",
1,750,Malerei,Painting,
1,760,"Druckgrafik, Drucke","Printmaking, prints",
1,770,"Fotografie, Video, Computerkunst","Photography, videography, computer art",
1,780,Musik,Music,
