level,notation,prefLabel
0,A,Allgemeines
1,AN,Allgemeine Nachschlagewerke
2,AN.A,Allgemeine Lexika und Enzyklopädien
2,AN.B,Allgemeine Bibliographien
2,AN.E,Allgemeine Adress- und Telefonverzeichnisse
2,AN.F,Fahrpläne
2,AN.I,Allgemeine Handbücher des Wissens
2,AN.J,Allgemeine Jahrbücher und Kalender
2,AN.K,Allgemeine Abkürzungsverzeichnisse
2,AN.V,Weitere allgemeine Nachschlagewerke und Verzeichnisse
1,AS,Vermischte allgemeine Schriften
0,B,Biographisches
1,BA,Allgemeine Sammelbiographien
2,BA.SYS,Allgemeine Sammelbiographien aus einzelnen Themenbereichen
1,BB,"Briefe, Tagebücher"
2,BB.SYS,"Briefe, Tagebücher aus einzelnen Themenbereichen"
1,BI,Einzelbiographien
2,BI.SYS,Einzelbiographien aus einzelnen Themenbereichen
1,BL,Allgemeine Bildnissammlungen
2,BL.SYS,Allgemeine Bildnissammlungen aus einzelnen Themenbereichen
1,BO,Erfahrungsberichte und Lebensbilder
2,BO.SYS,Erfahrungsberichte und Lebensbilder aus einzelnen Themenbereichen
0,D,Belletristik
1,DA,Gattungsübergreifende Anthologien
2,DA.D,Deutscher Sprachraum
2,DA.O,Österreich
2,DA.P,Europa
2,DA.S,Außereuropa
2,DA.T,Themenkreise
1,DC,"Comics und Graphic Novels (für Erwachsene)"
2,DC.C,Comics
2,DC.G,Graphic Novels
2,DC.K,"Cartoons, Karikaturen"
2,DC.M,Mangas
2,DC.S,Sachcomics
1,DD,"Epen, Märchen, epische Kleinformen"
2,DD.E,"Epen, Verserzählungen"
2,DD.M,"Märchen, Sagen, Volksbücher, Schwänke, Legenden, Fabeln"
2,DD.P,"Anekdoten, Witze, Aphorismen"
1,DG,Gesammelte Werke einzelner Schriftsteller
2,DG.D,Deutscher Sprachraum
2,DG.O,Österreich
2,DG.P,Europa
2,DG.S,Außereuropa
2,DG.T,Themenkreise
1,DL,Lyrik
2,DL.A,Lyrikanthologien
3,DL.AD,Deutscher Sprachraum
3,DL.AO,Österreich
3,DL.AP,Europa
3,DL.AS,Außereuropa
3,DL.AT,Themenkreise
1,DR,"Romane, Erzählungen und Novellen"
2,DR.A,Prosaanthologien
3,DR.AD,Deutscher Sprachraum
3,DR.AO,Österreich
3,DR.AP,Europa
3,DR.AS,Außereuropa
3,DR.AT,Themenkreise
2,DR.B,"Bauern-, Heimat-, Natur- und Dorfromane"
2,DR.D,Kriminalromane
3,DR.DH,Historische Kriminalromane
3,DR.DR,Regionalkrimis
2,DR.E,"Thriller, Spannungs- und Agentenromane"
2,DR.F,"Fantasyromane, Phantastische Romane"
2,DR.G,"Gesellschafts-, Liebes-, erotische und Eheromane"
2,DR.H,Historische Romane
2,DR.I,Kindheit und Jugend im Roman
2,DR.J,"Romane, Erzählungen und Novellen für Jugendliche"
3,DR.JA,Anthologien
3,DR.JD,Kriminalromane für Jugendliche
3,DR.JE,Spannungs- und Agentenromane für Jugendliche
3,DR.JF,Fantasy-Romane für Jugendliche
3,DR.JG,Gesellschafts- und Liebesromane für Jugendliche
3,DR.JH,Historische Romane für Jugendliche
3,DR.JK,Kriegs- und Antikriegsromane für Jugendliche
3,DR.JL,"Heitere Romane, Humor und Satiren für Jugendliche"
3,DR.JR,Reiseromane für Jugendliche
3,DR.JS,Horror- und Gespenstergeschichten und Schauerromane für Jugendliche
3,DR.JT,Tierromane für Jugendliche
3,DR.JU,Science Fiction-Romane für Jugendliche
3,DR.JV,Abenteuerromane für Jugendliche
3,DR.JW,"Bildungs-, Entwicklungs- und Erziehungsromane für Jugendliche"
3,DR.JZ,Politische und sozialkritische Romane für Jugendliche
2,DR.K,Kriegs- und Antikriegsromane
2,DR.L,"Heitere Romane, Humor und Satiren"
2,DR.N,Romane über Homosexualität und Diversität
2,DR.O,Romane: Einzelne Kulturen und Länder
2,DR.R,Reiseromane
2,DR.S,Horror- und Schauerromane
2,DR.T,Tier- und Jagdromane
2,DR.U,Science Fiction-Romane und Utopische Romane
2,DR.V,Abenteuerromane
2,DR.W,"Bildungs-, Entwicklungs- und Erziehungsromane"
3,DR.WB,Biographische und autobiographische Romane
3,DR.WK,Künstlerromane
3,DR.WP,"Ideenromane, Philosophische und Religiöse Romane"
2,DR.Y,"Leichte Sprache / leicht lesbare Texte"
2,DR.Z,Politische und sozialkritische Romane
3,DR.ZA,Romane aus der Arbeitswelt
3,DR.ZM,Romane zum Thema Migration
3,DR.ZT,"Romane aus der Welt der Wissenschaft, Forschung und Technik"
3,DR.ZU,Romane zum Thema Umweltschutz und Ökologie
3,DR.ZW,"Romane aus der Welt der Wirtschaft, Medien und Justiz"
1,DT,Dramatik
2,DT.D,Bühnendramatik
3,DT.DA,Anthologien
2,DT.H,Hörspiele
3,DT.HA,Hörspielanthologien
2,DT.K,Kabarett-Texte
0,E,"Reisen, regionale Geographie, Landeskunde"
1,EH,Österreich
2,EH.A,Allgemeine und einführende Schriften
3,EH.AK,Atlanten
3,EH.AR,Geographie
3,EH.AV,Brauchtum
3,EH.AX,Sportreiseführer
3,EH.AY,Reiseberichte
2,EH.B,Burgenland
3,EH.BX,Sportreiseführer
3,EH.BY,Reiseberichte
2,EH.K,Kärnten
3,EH.KX,Sportreiseführer
3,EH.KY,Reiseberichte
2,EH.M,Steiermark
3,EH.MX,Sportreiseführer
3,EH.MY,Reiseberichte
2,EH.N,Niederösterreich
3,EH.NX,Sportreiseführer
3,EH.NY,Reiseberichte
2,EH.O,Oberösterreich
3,EH.OX,Sportreiseführer
3,EH.OY,Reiseberichte
2,EH.Q,"Biographisches, Sekundärliteratur"
3,EH.QS,"Sammelbiographien, Sammeldarstellungen"
3,EH.QW,"Erlebnisberichte, biographische und autobiographische Darstellungen sonstiger Personen"
2,EH.S,Salzburg
3,EH.SX,Sportreiseführer
3,EH.SY,Reiseberichte
2,EH.T,Tirol
3,EH.TX,Sportreiseführer
3,EH.TY,Reiseberichte
2,EH.V,Vorarlberg
3,EH.VX,Sportreiseführer
3,EH.VY,Reiseberichte
2,EH.W,Wien
3,EH.WB,Wiener Bezirke
4,EH.WBA,Innere Stadt
4,EH.WBB,Leopoldstadt
4,EH.WBC,Landstraße
4,EH.WBD,Wieden
4,EH.WBE,Margareten
4,EH.WBF,Mariahilf
4,EH.WBG,Neubau
4,EH.WBH,Josefstadt
4,EH.WBI,Alsergrund
4,EH.WBK,Favoriten
4,EH.WBL,Simmering
4,EH.WBM,Meidling
4,EH.WBN,Hietzing
4,EH.WBO,Penzing
4,EH.WBP,Rudolfsheim-Fünfhaus
4,EH.WBR,Ottakring
4,EH.WBS,Hernals
4,EH.WBT,Währing
4,EH.WBU,Döbling
4,EH.WBV,Brigittenau
4,EH.WBW,Floridsdorf
4,EH.WBY,Donaustadt
4,EH.WBZ,Liesing
3,EH.WX,Sportreiseführer
3,EH.WY,Reiseberichte
1,EL,"Reisen, regionale Geographie, Landeskunde"
2,EL.A,Allgemeine und einführende Schriften
3,EL.AG,Geschichte des Reisens
3,EL.AK,"Atlanten, Kartographie"
3,EL.AR,Ratgeber Reisevorbereitung
2,EL.E,Europa
3,EL.EB,Südosteuropa
4,EL.EBC,Zypern
4,EL.EBG,"Griechenland (Festland)"
4,EL.EBI,"Griechenland (Inseln)"
4,EL.EBN,"Slowenien, Kroatien"
4,EL.EBR,"Rumänien, Bulgarien, Moldawien"
4,EL.EBS,"Serbien, Bosnien-Herzegowina, Montenegro, Makedonien, Albanien"
4,EL.EBX,Sportreiseführer
4,EL.EBY,Reiseberichte
3,EL.EC,"Schweiz, Liechtenstein"
4,EL.ECX,Sportreiseführer
4,EL.ECY,Reiseberichte
3,EL.ED,Deutschland
4,EL.EDN,Norddeutschland
4,EL.EDO,Ostdeutschland
4,EL.EDS,Süddeutschland
4,EL.EDW,Westdeutschland
4,EL.EDX,Sportreiseführer
4,EL.EDY,Reiseberichte
3,EL.EF,Frankreich
4,EL.EFC,Zentralfrankreich
4,EL.EFO,Nordostfrankreich
4,EL.EFS,Südfrankreich
4,EL.EFW,Westfrankreich
4,EL.EFX,Sportreiseführer
4,EL.EFY,Reiseberichte
3,EL.EG,"Großbritannien, Irland"
4,EL.EGE,"England, Wales, Nordirland"
4,EL.EGI,Irland
4,EL.EGS,Schottland
4,EL.EGX,Sportreiseführer
4,EL.EGY,Reiseberichte
3,EL.EH,"Niederlande, Belgien, Luxemburg"
4,EL.EHX,Sportreiseführer
4,EL.EHY,Reiseberichte
3,EL.EI,"Italien, Malta"
4,EL.EIA,Malta
4,EL.EIM,Mittelitalien
4,EL.EIN,Norditalien
4,EL.EIS,Süditalien
4,EL.EIX,Sportreiseführer
4,EL.EIY,Reiseberichte
3,EL.EN,Nordeuropa
4,EL.END,Dänemark
4,EL.ENF,Finnland
4,EL.ENI,Island
4,EL.ENN,Norwegen
4,EL.ENS,Schweden
4,EL.ENX,Sportreiseführer
4,EL.ENY,Reiseberichte
3,EL.EO,"Russland, Baltikum, Ukraine, Weißrussland"
4,EL.EOB,Baltikum
4,EL.EOK,Ukraine
4,EL.EOX,Sportreiseführer
4,EL.EOY,Reiseberichte
3,EL.EP,Polen
4,EL.EPX,Sportreiseführer
4,EL.EPY,Reiseberichte
3,EL.ES,Spanien und Portugal
4,EL.ESI,"Balearen, Kanarische Inseln"
4,EL.ESP,Portugal
4,EL.ESS,"Spanien (Festland)"
4,EL.ESX,Sportreiseführer
4,EL.ESY,Reiseberichte
3,EL.ET,"Tschechien, Slowakei"
4,EL.ETX,Sportreiseführer
4,EL.ETY,Reiseberichte
3,EL.EU,Ungarn
4,EL.EUX,Sportreiseführer
4,EL.EUY,Reiseberichte
3,EL.EX,Sportreiseführer
3,EL.EY,Reiseberichte
2,EL.F,Afrika
3,EL.FI,Afrikanische Inseln
3,EL.FM,"West-, Zentral-, Ostafrika"
4,EL.FMO,Ostafrika
4,EL.FMW,Westafrika
4,EL.FMZ,Zentralafrika
3,EL.FN,Nordafrika
3,EL.FS,Südliches Afrika
3,EL.FX,Sportreiseführer
3,EL.FY,Reiseberichte
2,EL.M,Amerika
3,EL.MK,Kanada
3,EL.MM,Mittelamerika
3,EL.MS,Südamerika
3,EL.MU,USA
3,EL.MX,Sportreiseführer
3,EL.MY,Reiseberichte
2,EL.P,Polargebiete
2,EL.S,Asien
3,EL.SM,Zentral- und Ostasien
4,EL.SMC,China
4,EL.SMJ,Japan
3,EL.SO,Südostasien
3,EL.SS,Südasien
3,EL.SV,Vorderasien
4,EL.SVA,"Syrien, Libanon, Jordanien, Palästina, Irak, Saudi-Arabien, Jemen, Oman, Dubai, Katar"
4,EL.SVE,"Iran, Afghanistan, Armenien, Aserbaidschan, Georgien"
4,EL.SVI,Israel
4,EL.SVT,Türkei
3,EL.SX,Sportreiseführer
3,EL.SY,Reiseberichte
